	Author	degree	in_degree	out_degree	betweenness	closeness	harmonic	eigenvector	node_degree	clustering	square_clustering	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass	louvain_communities	leiden_partitions
11	Frans Coenen	0.05403959336543606	0.023943285179240232	0.030096308186195825	0.0045255658242878095	0.30350195911589817	2505.3523809523786	0.04257708846144984	404.0	0.06920155829472416	0.02516010298569269	https://www.dbnl.org/auteurs/auteur.php?id=coen006	coen006	Frans	Coenen	Frans Coenen/Frans Coenen Jr.	1866-04-24	Amsterdam	Nederland	1936-06-23	Amsterdam	Nederland	male	archivaris/redacteur/bibliothecaris/journalist	19e/20e Eeuw	nl	secundair/jeugdliteratuur		archivaris/journalist/bibliothecaris/redacteur	4.0/2.0/4.0/2.0	2.0	2.0	0.0
12	Herman Robbers	0.017790262172284643	0.013242375601926162	0.00454788657035848	0.0010096985732424007	0.29887450911001684	2423.852380952366	0.02732224856913043	133.0	0.10905255957131456	0.03131391494463644	https://www.dbnl.org/auteurs/auteur.php?id=robb002	robb002	Herman	Robbers	Herman Robbers/Phocius	1868-09-04	Rotterdam	Nederland	1937-09-15	Amsterdam	Nederland	male	uitgever/boekdrukker	19e/20e Eeuw	nl	secundair		uitgever/boekdrukker	1.0/7.0	1.0	2.0	0.0
13	Roel Houwink	0.02474585339753879	0.018057784911717494	0.006688068485821294	0.0008478758927643182	0.30590772148689366	2500.2785714285574	0.046860532922603546	185.0	0.17975644193434523	0.05948647351659485	https://www.dbnl.org/auteurs/auteur.php?id=houw008	houw008	Roelof Martinus Frederik	Houwink	H. van Elro/Roel Houwink	1899-01-17	Breda	Nederland	1987-06-03	Zeist	Nederland	male	journalist/psychol/jurist/zielsverzorger/redacteur/ps.ther./advocaat	Twintigste Eeuw	nl			zielmaker/redacteur/journalist/advocaat/jurist/psycholoog	7.0/2.0/2.0/2.0/2.0/2.0	2.0	1.0	1.0
14	Dirk Coster	0.05858747993579454	0.04387372926698769	0.014713750668806848	0.003050921142051781	0.32666300003771714	2708.9190476190547	0.09621384100498176	438.0	0.10374695507626684	0.059767410663612255	https://www.dbnl.org/auteurs/auteur.php?id=cost006	cost006	Dirk	Coster	Dirk Coster	1887-07-07	Delft	Nederland	1956-10-08	Delft	Nederland	male	letterkundige (NIET-neerl.)/redacteur/journalist/vertaler	Twintigste Eeuw	nl	secundair		vertaler/journalist/letterkundige/redacteur	4.0/2.0/2.0/2.0	2.0	0.0	3.0
15	F. Bordewijk	0.03384162653825575	0.020866773675762437	0.012974852862493311	0.001993688432039238	0.3040436933938794	2490.7452380952163	0.0410874173533094	253.0	0.11595477386934673	0.03625306921692892	https://www.dbnl.org/auteurs/auteur.php?id=bord001	bord001	Ferdinand	Bordewijk	Emile Mandeau/F. Bordewijk/Ferdinand Johan Wilhelm Christiaan Karel Emil Bordewijk/Ton Ven	1884-10-10	Amsterdam	Nederland	1965-04-28	Den Haag	Nederland	male	leraar/jurist/hoogleraar/docent/advocaat	Twintigste Eeuw	nl			hoogleraar/leraar/advocaat/jurist/docent	2.0/2.0/2.0/2.0/2.0	2.0	2.0	0.0
16	Albert Plasschaert	0.006286784376672017	0.006153023006955591	0.00013376136971642589	6.892415251962441e-06	0.262771803032133	2140.669047618977	0.0222433567526655	47.0	0.32793709528214615	0.0	https://www.dbnl.org/auteurs/auteur.php?id=plas003	plas003	Albert Charles Auguste	Plasschaert	Albert Plasschaert	1874-xx-xx	Sas van Gent	Nederland	1941-xx-xx			male		19e/20e Eeuw	nl						0.0	3.0
17	Erich Wichman	0.008426966292134831	0.007089352594970572	0.001337613697164259	7.063181889861115e-05	0.283635615903213	2289.919047619003	0.02158178686993861	63.0	0.21666666666666667	0.07114278569642411	https://www.dbnl.org/auteurs/auteur.php?id=wich002	wich002	Erich	Wichman	Erich Wichman	1890-08-11	Utrecht	Nederland	1929-01-01	Amsterdam	Nederland	male	staatsman/schilder/bestuurder/politicus	Twintigste Eeuw	nl			schilder/bestuurder/ambtman	9.0/1.0/1.0	1.0	0.0	3.0
18	L.J.M. Feber	0.007089352594970572	0.005484216158373461	0.0016051364365971105	0.00013935264117068588	0.27243535663855933	2194.1285714284913	0.020809214023627988	53.0	0.26072727272727275	0.03319680965725372	https://www.dbnl.org/auteurs/auteur.php?id=febe001	febe001	Louis Jean Marie	Feber	L.J.M. Feber	1885-04-24	Bergen op Zoom	Nederland	1964-07-03	Den Haag	Nederland	male	architect/bouwkundig ingenieur/journalist/bouwmeester/redacteur/militair/staatsman/bestuurder/politicus/officier	Twintigste Eeuw	nl	jeugdliteratuur/suriname		redacteur/ambtman/architect/militair/officier/bestuurder/bouwkundig ingenieur/bouwmeester/journalist	2.0/1.0/2.0/9.0/1.0/1.0/2.0/1.0/2.0	1.0	0.0	3.0
19	Willem Pijper	0.011904761904761904	0.010700909577314071	0.001203852327447833	0.0001741442007596831	0.2862987067677268	2336.535714285674	0.020993115546564453	89.0	0.14904214559386972	0.0108499095840868	https://www.dbnl.org/auteurs/auteur.php?id=pijp004	pijp004	Willem Frederik Johannes	Pijper	Willem Pijper	1894-09-08	Zeist	Nederland	1947-03-xx	Leidschendam	Nederland	male	jongleur/musicus/minstreel	Twintigste Eeuw	nl	secundair/nonfictie		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0	3.0	1.0
20	Frederik van Eeden	0.05470840021401819	0.05337078651685393	0.001337613697164259	0.0021935160590032922	0.32668460330469934	2736.4357142857293	0.08213138877978819	409.0	0.06770945702984538	0.016595189259742682	https://www.dbnl.org/auteurs/auteur.php?id=eede003	eede003	Frederik Willem	van Eeden	Cornelis Paradijs/F.v.E./Frederik van Eeden/Frederik van Eeden Jr./Guido/Lieven Nijland	1860-04-03	Haarlem	Nederland	1932-06-16	Bussum	Nederland	male	apotheker/medicus/vertaler	19e/20e Eeuw	nl			vertaler/apotheker/medicus	4.0/2.0/2.0	2.0	4.0	4.0
21	M. Bruna	0.002140181915462814	0.0006688068485821295	0.0014713750668806848	3.7647974595549337e-07	0.23494876987254976	1854.0476190475476	0.0026862152381972155	16.0	0.6086956521739131	0.07605177993527508	https://www.dbnl.org/auteurs/auteur.php?id=brun024	brun024	Michaël Albertus (Miech)	Bruna	M. Bruna	1903-01-30	Utrecht	Nederland				male	wiskundige/natuurwetenschapper	Twintigste Eeuw	nl	nonfictie		natuurwetenschapper/doctor in de wiskunde	2.0/2.0	2.0	0.0	3.0
22	Karel van den Oever	0.01819154628143392	0.016853932584269662	0.001337613697164259	0.0001370717026391017	0.2985132878033816	2427.985714285687	0.04935784007817543	136.0	0.19010246348375845	0.08413751507840772	https://www.dbnl.org/auteurs/auteur.php?id=oeve003	oeve003	Karel	van den Oever	Karel van den Oever	1879-11-19	Antwerpen	België (Vlaanderen)	1926-10-06	Antwerpen	België (Vlaanderen)	male	arbeider/werkman	Twintigste Eeuw	nl	secundair/jeugdliteratuur		arbeider/werkman	13.0/13.0	13.0	0.0	3.0
23	Just Havelaar	0.013911182450508291	0.012573568753344033	0.001337613697164259	8.470559435253981e-05	0.2930761131160106	2382.2857142856838	0.031183115118623175	104.0	0.14285714285714285	0.016172506738544475	https://www.dbnl.org/auteurs/auteur.php?id=have002	have002	Willem Justus	Havelaar	Just Havelaar	1880-02-12	Rotterdam	Nederland	1930-02-03	Amersfoort	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	secundair/nonfictie		illustrateur/beeldhouwer/tekenaar	4.0/4.0/4.0	4.0	0.0	4.0
24	Gerard Bruning	0.015783841626538255	0.014981273408239699	0.0008025682182985553	0.00018763289256109128	0.29720220724206475	2440.869047619024	0.04422554950679825	118.0	0.19750760759310246	0.0397489539748954	https://www.dbnl.org/auteurs/auteur.php?id=brun008	brun008	Gerard	Bruning	Gerard Bruning	1898-02-18	Amsterdam	Nederland	1926-10-08	Nijmegen	Nederland	male		Twintigste Eeuw	nl						0.0	3.0
25	Gerard Brom	0.051899411449973246	0.025414660246120917	0.026484751203852325	0.006994001371807768	0.3095887369372248	2546.0023809523536	0.04942323184620577	388.0	0.09228852074475884	0.03357682789041372	https://www.dbnl.org/auteurs/auteur.php?id=brom002	brom002	Gerard Bartel	Brom	Gerard Brom	1882-04-17	Utrecht	Nederland	1959-11-30	Wijchen	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair		docent/leraar/hoogleraar	2.0/2.0/2.0	2.0	2.0	0.0
26	Frans Erens	0.030096308186195825	0.024478330658105937	0.0056179775280898875	0.0006247502065601673	0.2997450173889781	2473.1357142856837	0.05374402239817009	225.0	0.13363112964065912	0.056826234322840626	https://www.dbnl.org/auteurs/auteur.php?id=eren003	eren003	Maria Joseph Franciscus Peter Hubertus	Erens	Frans Erens/Gregorius/Trifouillard	1857-07-23	Schaesberg	Nederland	1935-12-05	Houthem-Sint Gerlach	Nederland	male	tekenaar/jurist/vertaler/illustrator/advocaat/magistraat/beeldend kunstenaar	19e/20e Eeuw	nl	limburg		beeldhouwer/vertaler/tekenaar/ambtman/advocaat/illustrateur/jurist	4.0/4.0/4.0/1.0/2.0/4.0/2.0	1.0	0.0	3.0
27	H. Marsman	0.05457463884430176	0.03089887640449438	0.02367576243980738	0.004093600130812475	0.3155412255873752	2605.0785714285716	0.06339477974619716	408.0	0.10929758790698796	0.042315958903714916	https://www.dbnl.org/auteurs/auteur.php?id=mars005	mars005	Hendrik	Marsman	H. Marsman	1899-09-30	Zeist	Nederland	1940-06-21	Het Kanaal		male	advocaat/jurist	Twintigste Eeuw	nl	secundair		jurist/advocaat	2.0/2.0	2.0	3.0	0.0
28	Herman Menagé Challa	0.00040128410914927763	0.00026752273943285177	0.00013376136971642589	2.320857336731505e-07	0.19786100643156124	1545.5305555555613	0.0003257518579686467	3.0	0.3333333333333333	0.0	https://www.dbnl.org/auteurs/auteur.php?id=mena012	mena012	Herman	Menagé Challa	Herman Menagé Challa	18xx-xx-xx						male	vertaler	Twintigste Eeuw		secundair		vertaler	4.0	4.0	0.0	3.0
29	C.J. Kelk	0.0335741037988229	0.02113429641519529	0.012439807383627608	0.0014612620558066168	0.3016670465081135	2470.935714285689	0.03623342947056927	251.0	0.1307738930713283	0.04030600064848763	https://www.dbnl.org/auteurs/auteur.php?id=kelk001	kelk001	Cornelis Jan	Kelk	C.J. Kelk/Thomas Beker	1901-08-28	Amsterdam	Nederland	1981-12-25	Doorwerth	Nederland	male	vertaler	Twintigste Eeuw	nl			vertaler	4.0	4.0	3.0	0.0
30	H.W.J.M. Keuls	0.006955591225254146	0.0065543071161048684	0.00040128410914927763	0.00017597458025460602	0.2710600245045192	2212.6857142856693	0.014634399848667237	52.0	0.18075471698113207	0.3333333333333333	https://www.dbnl.org/auteurs/auteur.php?id=keul003	keul003	H.W.J.M.	Keuls	H.W.J.M. Keuls	1883-05-19	Obdam	Nederland	1968-10-29	Ede	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl			jurist/advocaat	2.0/2.0	2.0	3.0	1.0
31	P.C. Boutens	0.035580524344569285	0.02862493311931514	0.006955591225254146	0.00273655897238925	0.31618753674520633	2599.085714285707	0.062334504919804676	266.0	0.14151050539466212	0.09642794718192363	https://www.dbnl.org/auteurs/auteur.php?id=bout005	bout005	Pieter Cornelis	Boutens	Andries de Hoghe/P.C. Boutens/Petrus Cornelis Boutens/Pieter Cornelis Bouters	1870-02-20	Middelburg	Nederland	1943-03-14	Den Haag	Nederland	male	leraar/hoogleraar/vertaler/docent/classicus	19e/20e Eeuw	nl	secundair		vertaler/oudheidkundige/hoogleraar/leraar/docent	4.0/2.0/2.0/2.0/2.0	2.0	3.0	0.0
32	Bernard Verhoeven	0.01792402354200107	0.013108614232209737	0.004815409309791332	0.00023057495731587562	0.28303431424800085	2298.502380952319	0.03323136752387329	134.0	0.18469834850016853	0.05530937931477378	https://www.dbnl.org/auteurs/auteur.php?id=verh038	verh038	Bernardus Johannes	Verhoeven	Bernard Verhoeven	1897-04-29	Arnhem	Nederland	1965-06-04	Arnhem	Nederland	male	staatsman/bestuurder/politicus	Twintigste Eeuw	nl	secundair		bestuurder/ambtman	1.0/1.0	1.0	0.0	3.0
33	Multatuli	0.13349384697699304	0.13215623327982878	0.001337613697164259	0.01352143304152212	0.375051088495206	3233.2023809524153	0.1656083519877878	998.0	0.032939830913893124	0.02646683673469388	https://www.dbnl.org/auteurs/auteur.php?id=mult001	mult001		Multatuli	Eduard Douwes Dekker/Multatuli	1820-03-02	Amsterdam	Nederland	1887-02-19	Nieder-Ingelheim	Duitsland	male	ambtenaar					ambtenaar	5.0	5.0	2.0	0.0
34	Albert Verwey	0.07089352594970572	0.06581059390048154	0.005082932049224184	0.0036189749538808884	0.33606353402070605	2832.685714285722	0.10992779931703299	530.0	0.07118907658943043	0.026146603900470747	https://www.dbnl.org/auteurs/auteur.php?id=verw008	verw008	Albert	Verwey	A. de Mare/Albert Verwey/Allan Lichtenberger/Guido/Homunculus/M. Wenke	1865-05-15	Amsterdam	Nederland	1937-03-08	Noordwijk	Nederland	male	leraar/docent/hoogleraar/vertaler	19e/20e Eeuw	nl			docent/leraar/vertaler/hoogleraar	2.0/2.0/4.0/2.0	2.0	4.0	0.0
35	Marcellus Emants	0.027554842161583732	0.025949705724986623	0.0016051364365971105	0.0003541515581335232	0.30702951622663677	2523.902380952364	0.04816887991650486	206.0	0.10474093018850052	0.011416339636104174	https://www.dbnl.org/auteurs/auteur.php?id=eman001	eman001	Marcellus	Emants	Alleh/Hella/Marcellus Emants/Sament	1848-08-12	Voorburg	Nederland	1923-10-14	Baden	Zwitserland	male	illustrator/tekenaar/beeldend kunstenaar	19e/20e Eeuw	nl			illustrateur/beeldhouwer/tekenaar	4.0/4.0/4.0	4.0	2.0	0.0
36	Hélène Swarth	0.022204387372926696	0.02180310326377742	0.00040128410914927763	3.099299892781439e-05	0.3128830685691892	2552.352380952389	0.04484493143661356	166.0	0.10379700620664475	0.0	https://www.dbnl.org/auteurs/auteur.php?id=swar008	swar008	Hélène	Swarth	Hélène Lapidoth-Swarth/Hélène Swarth	1859-10-25	Amsterdam	Nederland	1941-06-20	Velp	Nederland	female		19e/20e Eeuw	nl	secundair					2.0	0.0
37	Herman Gorter	0.05163188871054039	0.05109684323167469	0.0005350454788657035	0.0019453602813560395	0.3279642734411339	2742.185714285733	0.09251172322739522	386.0	0.08138408118220236	0.045588235294117645	https://www.dbnl.org/auteurs/auteur.php?id=gort004	gort004	Herman	Gorter	Herman Gorter	1864-11-26	Wormerveer	Nederland	1927-09-15	St-Joost-Ten-Noode	België (Brussel)	male	staatsman/classicus/bestuurder/politicus	19e/20e Eeuw	nl	secundair		oudheidkundige/bestuurder/ambtman	2.0/1.0/1.0	1.0	4.0	4.0
38	Wouter Hutschenruyter	0.0030765115034777956	0.0016051364365971105	0.0014713750668806848	2.5753106549566542e-05	0.24136606501369873	1915.628571428487	0.0041900343721916295	23.0	0.2389558232931727	0.054776317732171856	https://www.dbnl.org/auteurs/auteur.php?id=huts001	huts001	Wouter	Hutschenruyter	Wouter Hutschenruyter	1859-xx-xx			1943-xx-xx			male		19e/20e Eeuw	nl	secundair					2.0	0.0
39	J.A. Lambert-van der Kolf	0.0017388978063135364	0.0009363295880149812	0.0008025682182985553	4.110878500049842e-07	0.24468981011345148	1944.6047619046758	0.004867496159048193	13.0	0.48	0.07672502574665294	https://www.dbnl.org/auteurs/auteur.php?id=lamb087	lamb087	J.A.	Lambert-van der Kolf	J.A. Lambert-van der Kolf	18xx-xx-xx			19xx-xx-xx			female	vertaler	Twintigste Eeuw		secundair		vertaler	4.0	4.0	3.0	0.0
40	Marie Koenen	0.017656500802568215	0.01752273943285179	0.00013376136971642589	0.00011950050102621817	0.2818554083402008	2308.5023809523245	0.04173340608773696	132.0	0.17985195466111498	0.0	https://www.dbnl.org/auteurs/auteur.php?id=koen006	koen006	Marie	Koenen	Annie van Zuyden/Marie Koenen	1879-01-19	's-Hertogenbosch	Nederland	1959-07-10	Maastricht	Nederland	female		Twintigste Eeuw	nl	jeugdliteratuur/limburg					0.0	3.0
41	Marie Gijsen	0.00227394328517924	0.00227394328517924	0.0	0.0	0.2582535672634714	2069.069047618964	0.008455128057790924	17.0	0.33088235294117646	0.0	https://www.dbnl.org/auteurs/auteur.php?id=gijs005	gijs005	Egidia Maria Helena Anna	Gijsen	Marie Gijsen	1856-04-21	Gouda	Nederland	1936-11-20	Berlicum	Nederland	female		19e/20e Eeuw	nl						2.0	3.0
42	Ed. Hoornik	0.03089887640449438	0.02367576243980738	0.007223113964686998	0.0013364754677731253	0.2985132878033816	2466.778571428544	0.0490754610661663	231.0	0.1360348140612637	0.05009288092396328	https://www.dbnl.org/auteurs/auteur.php?id=hoor009	hoor009	Eduard Jozef Antonie Marie	Hoornik	Ed. Hoornik	1910-03-09	Den Haag	Nederland	1970-03-01	Amsterdam	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur		journalist/redacteur	2.0/2.0	2.0	1.0	1.0
43	Rie Cramer	0.002541466024612092	0.002541466024612092	0.0	0.0	0.25554241899049807	2042.6428571427632	0.007615033524375283	19.0	0.19298245614035087	0.0	https://www.dbnl.org/auteurs/auteur.php?id=cram006	cram006	Marie	Cramer	Marc Holman/Rie Cramer/Rie Cramerová/Rie Verkade-Cramer	1887-10-10	Sukabumi	Indonesië	1977-07-18	Laren	Nederland	female	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	jeugdliteratuur		illustrateur/beeldhouwer/tekenaar	4.0/4.0/4.0	4.0	0.0	3.0
44	Johan de Meester	0.050829320492241835	0.025815944355270196	0.02501337613697164	0.004913269745980678	0.30879526702321425	2553.3095238095098	0.06019711312847864	380.0	0.07882228677053077	0.02776690697685384	https://www.dbnl.org/auteurs/auteur.php?id=mees009	mees009	Eliza Johannes	de Meester	Eliza Johannes de Meester/Johan de Meester	1860-02-06	Harderwijk	Nederland	1931-05-16	Utrecht	Nederland	male	redacteur/journalist	19e/20e Eeuw	nl	secundair/jeugdliteratuur		journalist/redacteur	2.0/2.0	2.0	2.0	0.0
45	Pieter van der Meer de Walcheren	0.012707330123060459	0.012707330123060459	0.0	0.0	0.2776860778881294	2283.226190476133	0.029616861723559776	95.0	0.18555431131019037	0.0	https://www.dbnl.org/auteurs/auteur.php?id=meer001	meer001	Petrus Matthias Balthazar Albertus	van der Meer de Walcheren	Pieter van der Meer de Walcheren	1880-09-10	Utrecht	Nederland	1970-12-16	Breda	Nederland	male	rk-geestelijke/kloosterling/redacteur/journalist	Twintigste Eeuw	nl			rooms-katholiek geestelijke/redacteur/journalist/kloosterling	2.0/2.0/2.0/4.0	2.0	0.0	3.0
46	Pol de Mont	0.04373996789727126	0.038523274478330656	0.005216693418940609	0.002296477777250343	0.3171823479241273	2632.269047619047	0.07987354831816611	327.0	0.1007036967536123	0.03848537614733052	https://www.dbnl.org/auteurs/auteur.php?id=mont003	mont003	Karel Maria Polydoor	de Mont	Pol de Mont	1857-04-15	Wambeek	België (Vlaanderen)	1931-06-29	Berlijn	Duitsland	male	onderwijzer (basisschool)	19e/20e Eeuw	nl	secundair/jeugdliteratuur		onderwijzer op een lagere school	4.0	4.0	0.0	3.0
47	Karel van de Woestijne	0.047084002140181914	0.04521134296415195	0.0018726591760299624	0.0012746557787530277	0.3264686991322687	2711.552380952389	0.0974115735706587	352.0	0.10129348723511032	0.03254938852304798	https://www.dbnl.org/auteurs/auteur.php?id=woes002	woes002	Karel Pierre Edouard Marie	van de Woestijne	Beaat uut den Hove/Carlo/Erik Monck/Karel van de Woestijne	1878-03-10	Gent	België (Vlaanderen)	1929-08-24	Zwijnaarde	België (Vlaanderen)	male	journalist/leraar/redacteur/hoogleraar/docent	Twintigste Eeuw	nl	secundair		redacteur/leraar/hoogleraar/docent/journalist	2.0/2.0/2.0/2.0/2.0	2.0	0.0	3.0
48	Cyriel Verschaeve	0.022338148742643123	0.022070626003210272	0.00026752273943285177	1.6194881157199616e-05	0.2834403194038535	2327.352380952332	0.052734356826059064	167.0	0.17246230430704856	0.0	https://www.dbnl.org/auteurs/auteur.php?id=vers003	vers003	Cyriel	Verschaeve	Cyriel Verschaeve/I. Oorda/Zeemeeuw	1874-04-30	Ardooie	België (Vlaanderen)	1949-11-08	Solbad Hall	Oostenrijk	male	kloosterling/staatsman/bestuurder/politicus/rk-geestelijke	Twintigste Eeuw	nl	secundair		rooms-katholiek geestelijke/bestuurder/ambtman/kloosterling	2.0/1.0/1.0/4.0	1.0	0.0	3.0
49	Max Brod	0.007758159443552701	0.007758159443552701	0.0	0.0	0.26541655771101136	2151.28095238089	0.010775331659737535	58.0	0.1191772534785239	0.0	https://www.dbnl.org/auteurs/auteur.php?id=brod003	brod003	Max	Brod	Max Brod	1884-xx-xx	Tsjechië	Tsjechië	1968-xx-xx			male		Twintigste Eeuw		nonfictie/buitenland					3.0	1.0
50	H. Mol	0.013509898341359015	0.013242375601926162	0.00026752273943285177	0.00031317612100710394	0.29366850285775864	2389.602380952338	0.03370116177031306	101.0	0.1788118811881188	0.0	https://www.dbnl.org/auteurs/auteur.php?id=mol_002	mol_002	Hendrik	Mol	H. Mol	1917-xx-xx			1980-xx-xx			male		Twintigste Eeuw		taalkunde					4.0	4.0
