	Author	Degree	In-degree	Out-degree	Betweenness	Closeness	Harmonic	Eigenvector	Clustering	Square_Clustering	Community	Partition	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
11	Frans Coenen	0.05382550335570469	0.02389261744966443	0.029932885906040266	0.004728783152371391	0.296700378391932	2452.5857142857	0.04156964749334181	0.06686126287952499	0.02395539741872722	3	2	https://www.dbnl.org/auteurs/auteur.php?id=coen006	coen006	Frans	Coenen	Frans Coenen/Frans Coenen Jr.	1866-04-24	Amsterdam	Nederland	1936-06-23	Amsterdam	Nederland	male	archivaris/redacteur/bibliothecaris/journalist	19e/20e Eeuw	nl	secundair/jeugdliteratuur		journalist/archivaris/redacteur/bibliothecaris	2.0/4.0/2.0/4.0	2.0
12	Herman Robbers	0.01758389261744966	0.013020134228187917	0.004563758389261745	0.001134945309239671	0.2900679418278194	2353.419047619019	0.025224815796072806	0.10707569346497414	0.031241053535642715	2	2	https://www.dbnl.org/auteurs/auteur.php?id=robb002	robb002	Herman	Robbers	Herman Robbers/Phocius	1868-09-04	Rotterdam	Nederland	1937-09-15	Amsterdam	Nederland	male	uitgever/boekdrukker	19e/20e Eeuw	nl	secundair		uitgever/boekdrukker	1.0/7.0	1.0
13	Roel Houwink	0.024295302013422816	0.017718120805369126	0.00657718120805369	0.0008113490649046908	0.29801985007165244	2441.728571428548	0.04500131792037377	0.17631692175302724	0.05636684523716557	3	2	https://www.dbnl.org/auteurs/auteur.php?id=houw008	houw008	Roelof Martinus Frederik	Houwink	H. van Elro/Roel Houwink	1899-01-17	Breda	Nederland	1987-06-03	Zeist	Nederland	male	journalist/psychol/jurist/zielsverzorger/redacteur/ps.ther./advocaat	Twintigste Eeuw	nl			advocaat/journalist/redacteur/jurist/psycholoog/zielmaker	2.0/2.0/2.0/2.0/2.0/7.0	2.0
14	Dirk Coster	0.05812080536912751	0.04348993288590604	0.014630872483221475	0.0032155990096667014	0.31992648217423153	2659.1523809523815	0.09553841318095306	0.10228719364121655	0.05779205392169769	0	2	https://www.dbnl.org/auteurs/auteur.php?id=cost006	cost006	Dirk	Coster	Dirk Coster	1887-07-07	Delft	Nederland	1956-10-08	Delft	Nederland	male	letterkundige (NIET-neerl.)/redacteur/journalist/vertaler	Twintigste Eeuw	nl	secundair		letterkundige/redacteur/vertaler/journalist	2.0/2.0/4.0/2.0	2.0
15	F. Bordewijk	0.033825503355704695	0.020805369127516776	0.013020134228187917	0.002073594489169118	0.29614358247631056	2430.928571428541	0.04025674534916286	0.1119095859187033	0.03415144123064669	3	2	https://www.dbnl.org/auteurs/auteur.php?id=bord001	bord001	Ferdinand	Bordewijk	Emile Mandeau/F. Bordewijk/Ferdinand Johan Wilhelm Christiaan Karel Emil Bordewijk/Ton Ven	1884-10-10	Amsterdam	Nederland	1965-04-28	Den Haag	Nederland	male	leraar/jurist/hoogleraar/docent/advocaat	Twintigste Eeuw	nl			advocaat/jurist/hoogleraar/leraar/docent	2.0/2.0/2.0/2.0/2.0	2.0
16	Albert Plasschaert	0.006308724832214765	0.006174496644295302	0.00013422818791946307	7.128405573758246e-06	0.2607564684976449	2122.199999999933	0.02273802574587576	0.32793709528214615	0.0	0	4	https://www.dbnl.org/auteurs/auteur.php?id=plas003	plas003	Albert Charles Auguste	Plasschaert	Albert Plasschaert	1874-xx-xx	Sas van Gent	Nederland	1941-xx-xx			male		19e/20e Eeuw	nl					
17	Erich Wichman	0.008456375838926174	0.007114093959731543	0.0013422818791946308	7.450610084950843e-05	0.28220339422706514	2274.333333333286	0.021780649620932305	0.21666666666666667	0.0711662656705078	0	2	https://www.dbnl.org/auteurs/auteur.php?id=wich002	wich002	Erich	Wichman	Erich Wichman	1890-08-11	Utrecht	Nederland	1929-01-01	Amsterdam	Nederland	male	staatsman/schilder/bestuurder/politicus	Twintigste Eeuw	nl			bestuurder/ambtman/schilder	1.0/1.0/9.0	1.0
18	L.J.M. Feber	0.0069798657718120796	0.005503355704697986	0.001476510067114094	0.00013278933565557906	0.270889630595613	2178.3095238094415	0.021279310628065543	0.25888133030990174	0.0218303946263644	0	4	https://www.dbnl.org/auteurs/auteur.php?id=febe001	febe001	Louis Jean Marie	Feber	L.J.M. Feber	1885-04-24	Bergen op Zoom	Nederland	1964-07-03	Den Haag	Nederland	male	architect/bouwkundig ingenieur/journalist/bouwmeester/redacteur/militair/staatsman/bestuurder/politicus/officier	Twintigste Eeuw	nl	jeugdliteratuur/suriname		bouwkundig ingenieur/architect/militair/bestuurder/redacteur/ambtman/bouwmeester/officier/journalist	2.0/2.0/9.0/1.0/2.0/1.0/1.0/1.0/2.0	1.0
19	Willem Pijper	0.011812080536912751	0.010604026845637583	0.0012080536912751677	0.00017746259343969973	0.27412281961930823	2245.619047618993	0.019380779877760226	0.14528351188920827	0.011049723756906077	3	2	https://www.dbnl.org/auteurs/auteur.php?id=pijp004	pijp004	Willem Frederik Johannes	Pijper	Willem Pijper	1894-09-08	Zeist	Nederland	1947-03-xx	Leidschendam	Nederland	male	jongleur/musicus/minstreel	Twintigste Eeuw	nl	secundair/nonfictie		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
20	Frederik van Eeden	0.05476510067114093	0.053422818791946304	0.0013422818791946308	0.0022453861398087516	0.3203454809066973	2691.2523809523905	0.0826361556380877	0.06656669316566693	0.01660064138841728	3	2	https://www.dbnl.org/auteurs/auteur.php?id=eede003	eede003	Frederik Willem	van Eeden	Cornelis Paradijs/F.v.E./Frederik van Eeden/Frederik van Eeden Jr./Guido/Lieven Nijland	1860-04-03	Haarlem	Nederland	1932-06-16	Bussum	Nederland	male	apotheker/medicus/vertaler	19e/20e Eeuw	nl			medicus/vertaler/apotheker	2.0/4.0/2.0	2.0
21	M. Bruna	0.002147651006711409	0.0006711409395973154	0.001476510067114094	3.924067159096086e-07	0.23191409115986414	1828.6904761904088	0.002635633382641869	0.6086956521739131	0.07614766380602098	0	2	https://www.dbnl.org/auteurs/auteur.php?id=brun024	brun024	Michaël Albertus (Miech)	Bruna	M. Bruna	1903-01-30	Utrecht	Nederland				male	wiskundige/natuurwetenschapper	Twintigste Eeuw	nl	nonfictie		natuurwetenschapper/doctor in de wiskunde	2.0/2.0	2.0
22	Karel van den Oever	0.018120805369127514	0.016778523489932886	0.0013422818791946308	0.00013595707682699022	0.2885622508656978	2349.0857142856717	0.048170425797248034	0.1881845336873548	0.08423457730388423	0	4	https://www.dbnl.org/auteurs/auteur.php?id=oeve003	oeve003	Karel	van den Oever	Karel van den Oever	1879-11-19	Antwerpen	België (Vlaanderen)	1926-10-06	Antwerpen	België (Vlaanderen)	male	arbeider/werkman	Twintigste Eeuw	nl	secundair/jeugdliteratuur		werkman/arbeider	13.0/13.0	13.0
23	Just Havelaar	0.013825503355704696	0.01261744966442953	0.0012080536912751677	7.032108050370556e-05	0.2917633350585182	2366.702380952349	0.03153767985126466	0.14394516374714394	0.014925373134328358	3	2	https://www.dbnl.org/auteurs/auteur.php?id=have002	have002	Willem Justus	Havelaar	Just Havelaar	1880-02-12	Rotterdam	Nederland	1930-02-03	Amersfoort	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	secundair/nonfictie		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
24	Gerard Bruning	0.01570469798657718	0.0148993288590604	0.0008053691275167784	0.00018475526796828142	0.2875445740860621	2369.852380952343	0.04260861850579963	0.19273290094339623	0.040169133192389	0	2	https://www.dbnl.org/auteurs/auteur.php?id=brun008	brun008	Gerard	Bruning	Gerard Bruning	1898-02-18	Amsterdam	Nederland	1926-10-08	Nijmegen	Nederland	male		Twintigste Eeuw	nl					
25	Gerard Brom	0.05167785234899328	0.025503355704697986	0.0261744966442953	0.007361373306247568	0.3083320206054566	2530.2690476190196	0.05073734996805703	0.0913527269773801	0.03254944769749937	2	2	https://www.dbnl.org/auteurs/auteur.php?id=brom002	brom002	Gerard Bartel	Brom	Gerard Brom	1882-04-17	Utrecht	Nederland	1959-11-30	Wijchen	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
26	Frans Erens	0.030201342281879193	0.024563758389261742	0.005637583892617449	0.0006836555831018473	0.2985655074108132	2458.269047619015	0.05505479876738834	0.13363112964065912	0.05595272138023068	0	2	https://www.dbnl.org/auteurs/auteur.php?id=eren003	eren003	Maria Joseph Franciscus Peter Hubertus	Erens	Frans Erens/Gregorius/Trifouillard	1857-07-23	Schaesberg	Nederland	1935-12-05	Houthem-Sint Gerlach	Nederland	male	tekenaar/jurist/vertaler/illustrator/advocaat/magistraat/beeldend kunstenaar	19e/20e Eeuw	nl	limburg		advocaat/vertaler/jurist/ambtman/beeldhouwer/illustrateur/tekenaar	2.0/4.0/2.0/1.0/4.0/4.0/4.0	1.0
27	H. Marsman	0.05422818791946308	0.030738255033557045	0.023489932885906038	0.004421050497199078	0.308293158490432	2552.5119047618923	0.06214310117830585	0.10653208257004808	0.04017937907347265	3	2	https://www.dbnl.org/auteurs/auteur.php?id=mars005	mars005	Hendrik	Marsman	H. Marsman	1899-09-30	Zeist	Nederland	1940-06-21	Het Kanaal		male	advocaat/jurist	Twintigste Eeuw	nl	secundair		advocaat/jurist	2.0/2.0	2.0
28	Herman Menagé Challa	0.0004026845637583892	0.00026845637583892615	0.00013422818791946307	2.4666101669607727e-07	0.19663153016303608	1532.7293650793706	0.00032680313906306366	0.3333333333333333	0.0	0	2	https://www.dbnl.org/auteurs/auteur.php?id=mena012	mena012	Herman	Menagé Challa	Herman Menagé Challa	18xx-xx-xx						male	vertaler	Twintigste Eeuw		secundair		vertaler	4.0	4.0
29	C.J. Kelk	0.03328859060402684	0.021208053691275167	0.012080536912751677	0.0013898334241267164	0.29420229967080674	2411.7190476190126	0.03520621454522925	0.1277204104306908	0.03897901545164493	3	2	https://www.dbnl.org/auteurs/auteur.php?id=kelk001	kelk001	Cornelis Jan	Kelk	C.J. Kelk/Thomas Beker	1901-08-28	Amsterdam	Nederland	1981-12-25	Doorwerth	Nederland	male	vertaler	Twintigste Eeuw	nl			vertaler	4.0	4.0
30	H.W.J.M. Keuls	0.0069798657718120796	0.00657718120805369	0.0004026845637583892	0.00017584242572692295	0.2692051419175751	2194.5690476190057	0.014822775426015965	0.18075471698113207	0.3333333333333333	3	2	https://www.dbnl.org/auteurs/auteur.php?id=keul003	keul003	H.W.J.M.	Keuls	H.W.J.M. Keuls	1883-05-19	Obdam	Nederland	1968-10-29	Ede	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl			advocaat/jurist	2.0/2.0	2.0
31	P.C. Boutens	0.03543624161073825	0.028590604026845635	0.0068456375838926165	0.002788953470711137	0.30981607592946003	2551.1523809523637	0.06132091317316305	0.1366597486452208	0.09267879813796022	3	2	https://www.dbnl.org/auteurs/auteur.php?id=bout005	bout005	Pieter Cornelis	Boutens	Andries de Hoghe/P.C. Boutens/Petrus Cornelis Boutens/Pieter Cornelis Bouters	1870-02-20	Middelburg	Nederland	1943-03-14	Den Haag	Nederland	male	leraar/hoogleraar/vertaler/docent/classicus	19e/20e Eeuw	nl	secundair		vertaler/hoogleraar/leraar/docent/oudheidkundige	4.0/2.0/2.0/2.0/2.0	2.0
32	Bernard Verhoeven	0.01758389261744966	0.012885906040268454	0.004697986577181208	0.0002298147931651894	0.28153751375035535	2280.9357142856497	0.033392578961495924	0.18877131099353323	0.05635697232590201	0	4	https://www.dbnl.org/auteurs/auteur.php?id=verh038	verh038	Bernardus Johannes	Verhoeven	Bernard Verhoeven	1897-04-29	Arnhem	Nederland	1965-06-04	Arnhem	Nederland	male	staatsman/bestuurder/politicus	Twintigste Eeuw	nl	secundair		bestuurder/ambtman	1.0/1.0	1.0
33	Multatuli	0.13315436241610737	0.13181208053691273	0.0013422818791946308	0.014016016652099516	0.37156280107292833	3202.1523809524133	0.16684635582352603	0.032510665654862055	0.024898949070331446	2	3	https://www.dbnl.org/auteurs/auteur.php?id=mult001	mult001		Multatuli	Eduard Douwes Dekker/Multatuli	1820-03-02	Amsterdam	Nederland	1887-02-19	Nieder-Ingelheim	Duitsland	male	ambtenaar					ambtenaar	5.0	5.0
34	Albert Verwey	0.0708724832214765	0.06590604026845637	0.004966442953020134	0.0037024465350948264	0.33130135709915853	2794.9190476190533	0.11097216955035091	0.0703426562870636	0.02590761406978387	3	2	https://www.dbnl.org/auteurs/auteur.php?id=verw008	verw008	Albert	Verwey	A. de Mare/Albert Verwey/Allan Lichtenberger/Guido/Homunculus/M. Wenke	1865-05-15	Amsterdam	Nederland	1937-03-08	Noordwijk	Nederland	male	leraar/docent/hoogleraar/vertaler	19e/20e Eeuw	nl			hoogleraar/vertaler/leraar/docent	2.0/4.0/2.0/2.0	2.0
35	Marcellus Emants	0.02751677852348993	0.025906040268456373	0.0016107382550335568	0.0003654467230483368	0.30089776349650477	2474.6023809523517	0.047706178248318874	0.10268305514371802	0.011461318051575931	2	4	https://www.dbnl.org/auteurs/auteur.php?id=eman001	eman001	Marcellus	Emants	Alleh/Hella/Marcellus Emants/Sament	1848-08-12	Voorburg	Nederland	1923-10-14	Baden	Zwitserland	male	illustrator/tekenaar/beeldend kunstenaar	19e/20e Eeuw	nl			tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
36	Hélène Swarth	0.022147651006711407	0.02174496644295302	0.0004026845637583892	3.0462514027582476e-05	0.3059218209571743	2498.2523809523805	0.04351838383972154	0.10092387287509239	0.0	2	2	https://www.dbnl.org/auteurs/auteur.php?id=swar008	swar008	Hélène	Swarth	Hélène Lapidoth-Swarth/Hélène Swarth	1859-10-25	Amsterdam	Nederland	1941-06-20	Velp	Nederland	female		19e/20e Eeuw	nl	secundair				
37	Herman Gorter	0.05140939597315436	0.05087248322147651	0.0005369127516778523	0.001968516092417519	0.3215456710218335	2695.8357142857276	0.09238922420609341	0.08033492822966508	0.04496047430830039	4	1	https://www.dbnl.org/auteurs/auteur.php?id=gort004	gort004	Herman	Gorter	Herman Gorter	1864-11-26	Wormerveer	Nederland	1927-09-15	St-Joost-Ten-Noode	België (Brussel)	male	staatsman/classicus/bestuurder/politicus	19e/20e Eeuw	nl	secundair		bestuurder/ambtman/oudheidkundige	1.0/1.0/2.0	1.0
38	Wouter Hutschenruyter	0.003087248322147651	0.0016107382550335568	0.001476510067114094	2.8348244284344554e-05	0.23873875549881288	1892.8785714284904	0.004027948790936146	0.2389558232931727	0.05362776025236593	2	2	https://www.dbnl.org/auteurs/auteur.php?id=huts001	huts001	Wouter	Hutschenruyter	Wouter Hutschenruyter	1859-xx-xx			1943-xx-xx			male		19e/20e Eeuw	nl	secundair				
39	J.A. Lambert-van der Kolf	0.0017449664429530199	0.0009395973154362415	0.0008053691275167784	4.612857993079523e-07	0.24185474064004422	1921.366666666584	0.004858319843488938	0.48	0.07716371220020855	3	2	https://www.dbnl.org/auteurs/auteur.php?id=lamb087	lamb087	J.A.	Lambert-van der Kolf	J.A. Lambert-van der Kolf	18xx-xx-xx			19xx-xx-xx			female	vertaler	Twintigste Eeuw		secundair		vertaler	4.0	4.0
40	Marie Koenen	0.017718120805369126	0.01758389261744966	0.00013422818791946307	0.00012009119521336492	0.2802954127614837	2292.116666666609	0.04245020664673079	0.17985195466111498	0.0	0	4	https://www.dbnl.org/auteurs/auteur.php?id=koen006	koen006	Marie	Koenen	Annie van Zuyden/Marie Koenen	1879-01-19	's-Hertogenbosch	Nederland	1959-07-10	Maastricht	Nederland	female		Twintigste Eeuw	nl	jeugdliteratuur/limburg				
41	Marie Gijsen	0.0022818791946308723	0.0022818791946308723	0.0	0.0	0.2562773838332182	2050.3833333332473	0.008524726517889169	0.33088235294117646	0.0	0	2	https://www.dbnl.org/auteurs/auteur.php?id=gijs005	gijs005	Egidia Maria Helena Anna	Gijsen	Marie Gijsen	1856-04-21	Gouda	Nederland	1936-11-20	Berlicum	Nederland	female		19e/20e Eeuw	nl					
42	Ed. Hoornik	0.03060402684563758	0.023624161073825502	0.0069798657718120796	0.001365158015523721	0.29704267647860677	2449.7119047618744	0.049905845891512764	0.13304970025140206	0.04658474426585249	1	0	https://www.dbnl.org/auteurs/auteur.php?id=hoor009	hoor009	Eduard Jozef Antonie Marie	Hoornik	Ed. Hoornik	1910-03-09	Den Haag	Nederland	1970-03-01	Amsterdam	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur		redacteur/journalist	2.0/2.0	2.0
43	Rie Cramer	0.0025503355704697985	0.0025503355704697985	0.0	0.0	0.25356840480311427	2023.9571428570528	0.007639743705969208	0.19298245614035087	0.0	0	2	https://www.dbnl.org/auteurs/auteur.php?id=cram006	cram006	Marie	Cramer	Marc Holman/Rie Cramer/Rie Cramerová/Rie Verkade-Cramer	1887-10-10	Sukabumi	Indonesië	1977-07-18	Laren	Nederland	female	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	jeugdliteratuur		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
44	Johan de Meester	0.05020134228187919	0.025637583892617447	0.024563758389261742	0.0050885395398311	0.301677099095102	2498.492857142836	0.05856380768397672	0.07675476354453627	0.02617690564677055	2	2	https://www.dbnl.org/auteurs/auteur.php?id=mees009	mees009	Eliza Johannes	de Meester	Eliza Johannes de Meester/Johan de Meester	1860-02-06	Harderwijk	Nederland	1931-05-16	Utrecht	Nederland	male	redacteur/journalist	19e/20e Eeuw	nl	secundair/jeugdliteratuur		redacteur/journalist	2.0/2.0	2.0
45	Pieter van der Meer de Walcheren	0.012751677852348993	0.012751677852348993	0.0	0.0	0.2758365731523196	2265.6095238094663	0.030417231201949696	0.18555431131019037	0.0	0	2	https://www.dbnl.org/auteurs/auteur.php?id=meer001	meer001	Petrus Matthias Balthazar Albertus	van der Meer de Walcheren	Pieter van der Meer de Walcheren	1880-09-10	Utrecht	Nederland	1970-12-16	Breda	Nederland	male	rk-geestelijke/kloosterling/redacteur/journalist	Twintigste Eeuw	nl			rooms-katholiek geestelijke/redacteur/kloosterling/journalist	2.0/2.0/4.0/2.0	2.0
46	Pol de Mont	0.04335570469798657	0.038120805369127514	0.00523489932885906	0.0024600166153124748	0.3156329981886686	2612.3857142857073	0.08108938338907504	0.1015829358362825	0.03866894451459556	0	4	https://www.dbnl.org/auteurs/auteur.php?id=mont003	mont003	Karel Maria Polydoor	de Mont	Pol de Mont	1857-04-15	Wambeek	België (Vlaanderen)	1931-06-29	Berlijn	Duitsland	male	onderwijzer (basisschool)	19e/20e Eeuw	nl	secundair/jeugdliteratuur		onderwijzer op een lagere school	4.0	4.0
47	Karel van de Woestijne	0.046979865771812075	0.04523489932885905	0.0017449664429530199	0.0012318715702497533	0.3200520666618368	2664.7023809523816	0.0977407613645505	0.1007041100376617	0.03508953524479867	0	4	https://www.dbnl.org/auteurs/auteur.php?id=woes002	woes002	Karel Pierre Edouard Marie	van de Woestijne	Beaat uut den Hove/Carlo/Erik Monck/Karel van de Woestijne	1878-03-10	Gent	België (Vlaanderen)	1929-08-24	Zwijnaarde	België (Vlaanderen)	male	journalist/leraar/redacteur/hoogleraar/docent	Twintigste Eeuw	nl	secundair		redacteur/hoogleraar/leraar/docent/journalist	2.0/2.0/2.0/2.0/2.0	2.0
48	Cyriel Verschaeve	0.02228187919463087	0.022013422818791945	0.00026845637583892615	1.681856714202792e-05	0.2820894844266044	2311.219047618999	0.05437231901224571	0.17400511135450894	0.0	0	4	https://www.dbnl.org/auteurs/auteur.php?id=vers003	vers003	Cyriel	Verschaeve	Cyriel Verschaeve/I. Oorda/Zeemeeuw	1874-04-30	Ardooie	België (Vlaanderen)	1949-11-08	Solbad Hall	Oostenrijk	male	kloosterling/staatsman/bestuurder/politicus/rk-geestelijke	Twintigste Eeuw	nl	secundair		bestuurder/ambtman/kloosterling/rooms-katholiek geestelijke	1.0/1.0/4.0/2.0	1.0
49	Max Brod	0.007785234899328858	0.007785234899328858	0.0	0.0	0.26337333572455185	2132.4952380951736	0.010888724341745842	0.1191772534785239	0.0	3	2	https://www.dbnl.org/auteurs/auteur.php?id=brod003	brod003	Max	Brod	Max Brod	1884-xx-xx	Tsjechië	Tsjechië	1968-xx-xx			male		Twintigste Eeuw		nonfictie/buitenland				
50	H. Mol	0.013422818791946307	0.01315436241610738	0.00026845637583892615	0.0003217238860190346	0.28422006965641267	2315.983333333287	0.0328295662559541	0.17484848484848484	0.0	2	1	https://www.dbnl.org/auteurs/auteur.php?id=mol_002	mol_002	Hendrik	Mol	H. Mol	1917-xx-xx			1980-xx-xx			male		Twintigste Eeuw		taalkunde				
51	Willem Kloos	0.056107382550335566	0.04832214765100671	0.007785234899328858	0.006178966565699231	0.32546043769051786	2707.702380952399	0.09662566497153428	0.08514607128508293	0.07852898591602264	0	2	https://www.dbnl.org/auteurs/auteur.php?id=kloo003	kloo003	Willem Johannes Theodorus	Kloos	Willem Kloos	1859-05-06	Amsterdam	Nederland	1938-03-31	Den Haag	Nederland	male	classicus/vertaler	19e/20e Eeuw	nl			oudheidkundige/vertaler	2.0/4.0	2.0
52	Daan van der Zee	0.0032214765100671136	0.0032214765100671136	0.0	0.0	0.24838171984038684	1981.3142857141897	0.004553536949589992	0.20471014492753623	0.0	3	2	https://www.dbnl.org/auteurs/auteur.php?id=zee_001	zee_001	Daniël	van der Zee	Daan van der Zee	1880-xx-xx	Schiedam	Nederland	1969-xx-xx			male	staatsman/bestuurder/politicus	Twintigste Eeuw	nl			bestuurder/ambtman	1.0/1.0	1.0
