Author	DOB
Herman Hutte	1917
C. van Oosterhout	1899
Esther Hadassa Weyl	20ste eeuw
Piet Oomes	20 november 1898
Ben van Eysselsteijn	22 januari 1898
Paul de Vree	13 november 1909
P.J.H. Vermeeren	11 oktober 1913
Joannes Reddingius	19 juni 1873
Bertus Aafjes	12 mei 1914
Paul Haimon	20 oktober 1913
W.C.L. van der Grinten	1913
K. Steur	23 juni 1905
Gerth Schreiner	16 september 1892
Jo Manders	24 september 1891
J. Slauerhoff	14 september 1898
A.J.M. Cornelissen	1902
Gerard den Brabander	3 juli 1900
Bert Bakker	3 april 1912
Jef Last	2 mei 1898
Frank Valkenier	2 september 1907
Simon Vestdijk	17 oktober 1898
Bert Decorte	2 juli 1915
Martin Leopold	1908
Johan de Molenaar	18 april 1894
André Demedts	8 augustus 1906
A.A. Smijers	19 juli 1888
Piet Beek	29 juni 1910
Willem Hoffman	1908
Wiel van der Randen	10 maart 1897
C.J. Vos	14 januari 1891
G. Engelberg	1912
René Berghen	14 april 1901
Marcel Matthijs	11 januari 1899
Maurice Gilliams	20 juli 1900
Bert Verbist	1916
Blanka Gyselen	26 november 1909
Albe	8 juni 1902
Marnix van Gavere	31 december 1897
Gabriëlle Demedts	11 juni 1909
René Verbeeck	18 april 1904
Edgar Twello	1918
A. van der Wey	1903
Charles Roelofsz	5 maart 1897
August Vermeylen	12 mei 1872
Adrien Jans	22 oktober 1905
Hans Keilson	12 december 1909
Jan Bent	
Maurits Dekker	16 juli 1896
Gustav Delory	10 september 1857
Jacob Hendrik van Duinen	19 mei 1840
Joh. Hartog	1912
Chris van der Weye	23 april 1888
Bernard Delfgaauw	24 november 1912
F.J.J. Buytendijk	1887
Roel Verlaan	19de eeuw
Leo Heirman	16 oktober 1914
Albert C.A. Voortman	
Max de Jong	25 december 1917
A.G.M. van de Wijnpersse	1925
Robert Franquinet	5 juni 1915
Maarten Vrolijk	14 mei 1919
Bert Peleman	13 april 1915
A. Marja	8 maart 1917
Reinold Kuipers	26 augustus 1914
Ferd. Sassen	13 augustus 1894
D.A. de Graaf	1906
Walter Breedveld	25 juli 1901
Marianne Philips	18 maart 1886
Jeanne Liedmeier	20ste eeuw
Max Prick van Wely	1909
G. Vos de Wael	1849
Loe Maas	28 mei 1911
Frederik de Graaf	1913
K.J. Hahn	1912
Jacques Benoit	25 december 1901
Hendrik Houwens Post	18 september 1904
Hélène Nolthenius	9 april 1920
Johan Berger	30 november 1919
A.L.M. Arnolds	1913
Victor E. van Vriesland	27 oktober 1892
C.J. Kelk	28 augustus 1901
H.W.J.M. Keuls	19 mei 1883
H.J.M.F. Lodewick	16 september 1909
Ab Visser	14 februari 1913
Hubert Janssen	7 maart 1910
Jacques Idserda	8 juli 1918
J. van Delden	19 april 1919
Karel Meeuwesse	11 juli 1914
F.J.J. Buitendijk	1887
P.H. van der Kemp	1845
Otto Dijk	7 juni 1925
Otto van Eck	5 juli 1780
Anton van der Vet	1919
Peter Crassaerts	20ste eeuw
R.J. Valkhoff	1899
J.J. Nieuwburg	20ste eeuw
H. de Vries	18de eeuw
W.J.C. van Hasselt	9 januari 1795
Nicolaas Beets	13 september 1814
Jan Pieter Heije	1 maart 1809
Hendrik Engelinus Weijers	14 mei 1805
J. Ackersdijck	22 oktober 1790
E.J. Potgieter	27 juni 1808
Jacob Pieter van Walrée	3 december 1798
S.J. van den Bergh	10 januari 1814
J.P. Arend	6 november 1796
Herman Pol	1811
A.L.G. Bosboom-Toussaint	16 september 1812
Willem Gerard Brill	10 oktober 1811
Joël Emanuel Goudsmit	13 juni 1813
S. de Visser S.zoon	19de eeuw
J.I.D. Nepveu	3 februari 1810
L.Ph.C. van den Bergh	20 juni 1805
Johannes Gerardus la Lau	10 januari 1799
J.J.A. Goeverneur	14 februari 1809
Conradus Leemans	28 april 1809
Jan van der Hoeven	9 februari 1801
Cornelis Star Numan	2 februari 1807
Montanus de Haan Hettema	28 januari 1796
Taco Roorda	19 juli 1801
John Bake	1 september 1787
Johan de Wal	3 april 1816
Jacob Geel	12 november 1789
André van Hasselt	5 januari 1806
J.F. Oltmans	1 september 1806
A.L. Lesturgeon	16 oktober 1815
Willem Ernst Johan Berg	27 juli 1813
Hendrik Jan Nassau	30 november 1791
Wopke Eekhoff	2 maart 1809
H.F. Cohen	1 juli 1946
Henricus Bernardus Martini van Geffen	19 januari 1814
Petrus de Raadt	4 maart 1796
Leigh Hunt	1784
Willem Moll	28 februari 1812
P.J. Veth	2 december 1814
Johan Rudolph Thorbecke	14 januari 1798
Hendrik Chistiaan Millies	15 oktober 1810
Adriaan Beeloo	20 november 1798
A.W. Engelen	23 augustus 1804
Bartholomeus Philippus de Kanter	10 februari 1805
Levy Ali Cohen	6 oktober 1817
W.J.A. Jonckbloet	6 juli 1817
J. van Vloten	18 januari 1818
W.C.L. Clarisse	17 april 1811
R.C. Bakhuizen van den Brink	28 februari 1810
Henry Wadsworth Longfellow	1807
Joost Hiddes Halbertsma	23 oktober 1789
R.P.A. Dozy	21 februari 1820
P.T. Helvetius van den Bergh	13 februari 1799
Friedrich Kaiser	10 juni 1808
George Willem Vreede	14 april 1809
J. van Geuns	5 juli 1808
Jan Gerhardus Ottema	1 december 1804
Gerrit de Clercq	9 november 1821
Johannes Kneppelhout	8 januari 1814
C.J. van Assen	25 augustus 1788
Gerardus Arnoldus Nicolaus Allebé	9 mei 1810
C.W. Opzoomer	20 september 1821
Johannes Aletta Marinus Mensinga	15 augustus 1809
Abraham des Amorie van der Hoeven jr.	15 februari 1821
S. Vissering	23 juni 1818
Martinus des Amorie van der Hoeven	20 februari 1824
Dionys Burger	4 februari 1820
Carl Ludwig Blume	29 juni 1789
Willem Louis de Sturler	15 juni 1802
Willem Leonard Ritter	6 maart 1799
C.H.D. Buys Ballot	10 oktober 1817
Jacobus Izaäk Doedes	20 november 1817
Jacob Dirks	19 juni 1811
F.C. Donders	27 mei 1818
Jan van Gilse	19 oktober 1810
Johannes ab Utrecht Dresselhuis	30 september 1789
Georges Declercq	1958
Jacques François Bosdijk	29 november 1812
A.J. de Bull	11 december 1823
Isaäc da Costa	14 januari 1798
M.M. von Baumhauer	6 april 1816
T.W.J. Juynboll	6 april 1802
G.E. Voorhelm Schneevoogt	26 december 1814
Henry Riehm	19 juli 1822
P. Halbertsma	19 november 1817
Willem Jan Knoop	2 mei 1811
Joannes Jacobus de Hollander	28 augustus 1817
T.K.M. von Baumhauer	17 november 1824
E. Piaget	1817
D.D. Büchler	1787
Willem Richard Boer	4 april 1818
Jacques Clement Perk	19de eeuw
E.W. Beth	7 juli 1908
J.J. Viotta	14 januari 1814
P.A. de Génestet	21 november 1829
J.J. Rovère van Breugel	1790
Dirk Harting	6 oktober 1817
J.C.G. Evers	18 oktober 1818
Carel Adriaan Engelbregt	10 juni 1816
Jan Heemskerk Bzn.	16 februari 1811
E.B. Swalue	8 januari 1806
Antonie Niermeyer	2 september 1814
G. Knoop	18de eeuw
Christiaan Lodewijk Schuller tot Peursum	7 juli 1813
J. Pijnappel	17 november 1821
J.A. Alberdingk Thijm	13 augustus 1820
David Bierens de Haan	3 mei 1822
Salomon Müller	1864
A.V. Michiels	30 april 1797
P.W. Korthals	1 september 1807
W.R. van Hoëvell	14 juli 1812
Pieter Leendertz Wz.	7 november 1817
Mark Prager Lindo	19 februari 1819
Jacob van Lennep	24 maart 1802
Jan Heemskerk Azn.	30 juli 1818
Aug. Philips	19de eeuw
A.C. Oudemans	11 mei 1798
Johannes Zeeman	18 februari 1824
Lodewijk Willem van Deventer	13 juni 1828
Jakob Karel Willem Quarles van Ufford	22 mei 1818
C.A.J.A. Oudemans	7 december 1825
Hendrik Jan Spijker	1 november 1802
Johan Carl Zimmerman	18 maart 1828
H.J. Schimmel	30 juni 1823
H.J. van der Helm	19de eeuw
Jacob Leonard de Bruyn Kops	22 december 1822
Jacob de Witte van Citters	16 mei 1817
Ernst Julius Kiehl	28 juli 1827
J.T. Buys	26 januari 1828
P.A.S. van Limburg Brouwer	15 november 1829
W.J. Hofdijk	27 juni 1816
F.M. Cowan	24 juli 1822
J.G.A. Faber	1823
Johannes Adriaan Molster	15 maart 1827
Henriette Frederika Bosscha	20 januari 1831
Hendrik Jacob van der Heim	21 januari 1824
C.L. van Woelderen	22 juli 1797
Eugen Mehler	4 maart 1826
Jacob Riehman	?
Louis Susan Pedro Meyboom	2 april 1817
Daniel Koorders	12 augustus 1830
L.M. Heemskerk	20ste eeuw
J.L. Dusseau	1824
Marinus Lodewijk van Deventer	10 maart 1832
A. Rientjes	1881
S.J. Hoekstra	3 juni 1825
Arie de Jager	10 april 1806
Gozewinus Acker Stratingh	25 maart 1804
Winand Carel Hugo Staring	5 oktober 1808
H.W. de Graaf	19de eeuw
Pieter Arend Leupe	22 december 1808
Guillaume Henri Marie Delprat	2 november 1791
C.C. Huysmans	1 januari 1810
W.M. Perk	1821
K.A. Rombach	24 mei 1812
Jan Willem van Sypesteyn	8 oktober 1816
H. van Cappelle jr.	2 oktober 1857
Elise van Calcar	19 november 1822
Theo Hermans	1948
F.J. Swartwout	19de eeuw
Cornelis Hooyer	8 november 1804
Daniël Veegens	21 mei 1800
Johannes Bosscha	19 maart 1797
L.J. Egeling	11 augustus 1824
Sytze Hoekstra Bzn.	20 augustus 1822
Pieter de la Court	1618
Johan de Witt	24 september 1625
J. Tideman	3 augustus 1821
F.A.W. Miquel	24 oktober 1811
D.J. Coster	12 december 1828
Carl A.X.G.F. Sicherer	21 oktober 1807
Adriaan Loosjes	4 augustus 1828
Jan Herman Herman de Ridder	28 januari 1816
R.T.H.P.L.A. van Boneval Faure	25 januari 1826
Pieter Nicolaas Muller	23 september 1821
Joannes Tideman	12 oktober 1807
H. van Cappelle	25 september 1825
Jan Willem van der Noordaa	23 september 1827
Samuel Adrianus Naber	16 juli 1828
Willem Doorenbos	28 mei 1820
H. Halbertsma	1920
P.J. Hollman	27 november 1821
Antonius van der Linde	14 november 1833
Cornelius Marinus de Jong van Rodenburgh	15 april 1816
Nicolaus Meursinge	1825
Mari Johan Mees	15 april 1846
Lodewijk Willem Ernst Rauwenhoff	27 juli 1828
Lodewijk Mulder	9 april 1822
N.W.P. Rauwenhoff	1826
J.C. Reepmaker	1819
Jan Jacob de Gelder	12 oktober 1802
L. de Hartog	6 november 1835
Johan Adam Wijnne	4 december 1822
E. van der Ven	5 oktober 1833
Jan Pieter Nicolaas Land	23 april 1834
Jan Gerrit Hulleman	1815
Abraham Kuenen	16 september 1828
E. Moll	7 maart 1814
Johannes Pols	22 januari 1826
B.M. Perk	19de eeuw
Adrianus Bruinvisch Maatjes	12 mei 1820
Antony Winkler Prins	31 januari 1817
J.W. Muller	14 juni 1858
Albert Hendrik Arnoldus Ekker	18 september 1823
Ben Sloot	20ste eeuw
Wilhelm Christiaan Knottenbelt	19 juni 1813
C.P. Tiele	16 december 1830
Carel Vosmaer	20 maart 1826
Geert Berings	1957
Johannes Margadant	25 september 1829
Cd. Busken Huet	28 december 1826
Simke Heerts Rinkes	11 december 1829
C.P. Burger	10 april 1858
Walter Bosch	19de eeuw
Nicolas Charles Sieburgh	18 oktober 1827
Robert Fruin	14 november 1823
Aart Veder	9 augustus 1808
B.W. Wttewaall van Wickenburgh	16 juli 1807
W.C.A. Staring	19 december 1812
A.S. Carpentier Alting	30 december 1837
Abraham Seyne Kok	10 juni 1831
P.J.B.C. Robidé van der Aa	23 mei 1832
J. Wttewaall	6 september 1810
W. Ruys	1 april 1809
Frederik Nagtglas	7 november 1821
P.C. Margadant	11 augustus 1854
Sijo Kornelius Thoden van Velzen	26 november 1809
Hendrik de Veer	23 november 1829
W.J.A. de Witt Huberts	27 maart 1829
Nicolaas Jacob Bernard Kappeyne van de Coppello	24 oktober 1818
D.E.W. Wolff	18 mei 1823
T.T.H. Jorissen	3 februari 1833
Mon Steyaert	20ste eeuw
W.N. du Rieu	23 oktober 1829
H.P.G. Quack	2 juli 1834
S.J. Hingst	11 augustus 1834
Johan Willem Tydeman	28 augustus 1815
Abraham Dirk Loman	16 september 1823
Johannes van Dam	6 april 1805
Samuël Senior Coronel	28 april 1827
Hippoliet Bauduin	7 mei 1806
Tobias Michael Carel Asser	28 april 1838
Simon Frederik Groen	20 januari 1817
F.P.J. Sibmacher Zìjnen	30 november 1826
T.J. Halbertsma	20 juli 1829
Steven Blaupot ten Cate	29 januari 1805
Johannes Philippus Heukelom	18 maart 1811
W.H. van de Sande Bakhuyzen	1831
Nikolaas Gerard Pierson	7 februari 1839
Abraham Willem de Klerck	19 juli 1831
Willem baron van Goltstein	13 mei 1831
Julius Christiaan van Deventer	10 september 1824
Otto van Rees	25 december 1825
J. Limburg	1866
Eelco Verwijs	17 juli 1830
Firmin van der Poorten	6 maart 1921
N.J. den Tex	29 december 1836
L.R. Beynen	29 september 1811
Herman Agatho des Amorie van der Hoeven	22 juli 1829
Pieter Bleeker	10 juli 1819
J.F.B. Baert	21 oktober 1833
J. Beckering Vinckers	24 oktober 1821
Samuel van Houten	17 februari 1837
Gerrit Kuyper Hzn	3 juli 1815
P.A. Tiele	18 januari 1834
Thomas Kroon JHz.	19 mei 1835
Henri Ernest Moltzer	20 mei 1836
R.S. Tjaden Modderman	1831
H.A. Wijnne	11 april 1821
Isaäc Dornseiffen	12 oktober 1818
Jan Willem Nicolaas Mosselmans	9 juli 1836
Tiberius Cornelius Winkler	28 mei 1822
Izaak Jan Blaupot ten Cate	20 mei 1838
Nicolaas Bernhardus Donkersloot	21 februari 1813
Michiel Johannes de Goeje	13 augustus 1836
Piet van Os	14 mei 1835
Jan Luzac	7 februari 1833
Anthony Ewoud Jan Modderman	27 september 1838
H.G. van de Sande Bakhuyzen	1838
Adam Smith	18de eeuw
Jan ten Brink	15 juni 1834
B.J. Stokvis	1834
Joan Karel Hendrik de Roo van Alderwerelt	6 augustus 1832
Jacob Gijsbert de Hoop Scheffer	28 september 1819
M.H. Jansen	11 augustus 1817
D. Huizinga	16 oktober 1840
B.H.C.K. van der Wijck	30 maart 1836
Bernard Dominicus Hubertus Tellegen	1823
Hendrik Adriaan Antonius van Berckel	9 augustus 1809
Julius de Geyter	25 mei 1830
J.A. van Dijk	12 januari 1830
Folkertinus Nicolaas Sickenga	27 december 1840
H.W. Schroeder van der Kolk	19de eeuw
H. Neubronner van der Tuuk	23 februari 1824
J.C. de Vries	19de eeuw
Jan Willem Straatman	27 december 1825
H.T. Karsten	1839
Jeronimo de Vries	17 juni 1838
H.F.R. Hubrecht	15 september 1844
W.F.R. Suringar	28 december 1832
A.J.A. Gerlach	18 september 1811
A.W.M. van Hasselt	1814
A.E. Croockewit	10 oktober 1839
Jb. Boeke	13 april 1836
A. Quak	1946
H. van der Hoeven	1843
Cornelis Marinus Francken	8 december 1820
W.A. Reiger	10 juli 1842
Meinardus Siderius Pols	28 oktober 1831
M.T.H. Perelaer	4 augustus 1831
R.P. Mees Azn.	5 juli 1834
G.H.J. Elliot Boswel	17 februari 1830
W.C.D. Olivier	1820
Henricus Oort	27 december 1836
P.J. de Roode	1823
W.M. Logeman	27 april 1821
Simon Gorter	11 december 1838
Joanan Rutgers	1965
Charles Boissevain	28 oktober 1842
M.W.C. Gori	1834
Johan Gram	25 april 1833
Willem Johannes Franciscus Nuyens	18 augustus 1823
Hendrik Hooyer	27 maart 1844
Peter van Os	ca. 1460-1470
D.J. Mom Visch	19de eeuw
Michaël Wilhelm Scheltema	13 oktober 1826
Peter van Bosse	16 december 1809
J. l' Ange Huet	3 november 1840
W.A. van Rees	13 maart 1820
Matthijs Salverda	7 februari 1840
E.J.P. Jorissen	1829
Gerard Keller	13 februari 1829
François de Casembroot	26 juli 1817
W.P. Sautijn Kluit	29 oktober 1838
Isaac Arnold Lamping	22 juli 1850
H.C. Rogge	16 februari 1831
Anton Gillis Cornelis van Duyl	8 december 1829
M.A.N. Rovers	6 mei 1834
J.J. Cornelissen	20 mei 1839
A.L.H. Ising	24 september 1824
Jérome Alexandre Sillem	24 oktober 1840
Tobias van Westrheene Wzn	26 september 1825
G.M. Boissevain	15 juli 1837
George Lodewijk Kepper	28 november 1842
H.P. van Karnebeek	26 september 1828
H. van Herwerden	17 september 1831
Cornelius Marius Kan	18 maart 1837
J.S.G. Gramberg	19 april 1823
C.J.F. Mirandolle	28 september 1827
H.C. van Hall	1801
T.J. Stieltjes	19 mei 1819
P.J.W. Teding van Berkhout	6 augustus 1825
Hendrik Pierson	10 juni 1834
Willem Pieter Wolters	15 augustus 1827
Adriaan van Eck	24 november 1820
H. Kern	6 april 1833
W. Koster Gzn.	24 oktober 1834
Sadi de Gorter	1912
G.A. van Hamel	17 januari 1842
Cornelis Bellaar Spruyt	5 juni 1842
P. van Geer	27 juni 1841
Jan Karel baron van Goltstein	30-31 mei 1794
Balthazar Heldring	17 maart 1839
Martinus Leopold	19 oktober 1830
M.H. du Croo	8 april 1887
Victor de Stuers	20 oktober 1843
Philip Reinhard Hugenholtz	8 november 1821
Willem Arnold Pieter Pistorius	9 december 1838
B. Carsten	1829
Pieter Lodewijk Muller	9 november 1842
Aart Admiraal	13 oktober 1833
Pieter Marinus Netscher	4 juni 1824
Jean Baptist van Hugenpoth tot den Beerenclauw	11 januari 1816
Bruno Jz. Tideman	6 januari 1837
Hendrik Wolfgang van der Meij	10 augustus 1842
Th.H. MacGillavry	1835
N.G. Cnoop Koopmans	1841
J.N. van Hall	15 januari 1840
Johannes Bodel Nijenhuis	23 november 1797
Johan Hermann Christian Heyse	23 maart 1839
D. de Loos	24 juni 1834
S.M.S. de Ranitz	1846
Herman François Waller	1831
A.J.C. Geerts	24 maart 1843
Hugo Beyerman	19 september 1836
Willem Kloos	6 mei 1859
H.J. van Ankum	7 december 1845
Pieter Heering	7 februari 1838
W.A. Verschuer	2 januari 1840
W.C. Hojel	4 juni 1831
W. Heineken	19de eeuw
H.Q. Janssen	9 november 1812
A.C. Loffelt	15 april 1841
Jan Willem Gerbrandt van Oordt	15 januari 1826
Ocko Wicher Star Numan	4 september 1840
P. de Boer	1841
L.M.J. Glasius	19de eeuw
H. van de Stadt	1842
Jacob Paulus Amersfoordt	4 juli 1817
M.C.L. Lotsij	1845
Jacob Dirk Veegens	22 januari 1845
R.A. Mees	1844
Pieter Antonie van der Lith	31 mei 1844
A.P.C. van Karnebeek	1836
Jan Hartog	14 augustus 1829
W.K. van Dedem	6 juli 1839
Floris der Kinderen Fzn.	25 juli 1844
Joan Frederik van Oordt	1856
Adriaan Huet	15 april 1836
Barthold Jacob Lintelo de Geer van Jutphaas	12 december 1816
Daniël Hartevelt	9 mei 1824
Elise Adelaïde Haighton	28 mei 1841
Constantijn	3 mei 1834
J.H.F. Sollewijn Gelpke	22 april 1840
Tijs Terwey	15 augustus 1845
Gerardus Petrus Booms	29 oktober 1822
Pierre Joseph Henry Baudet	4 april 1824
C.A. Crommelin	22 december 1878
P.J. Cosijn	29 november 1840
A.T. Reitsma	1806
Taco H. de Beer	18 november 1838
J.L. Hoorweg	1841
Jeronimo de Bosch Kemper	23 maart 1808
Annaeus Frederik Eilerts de Haan	21 oktober 1834
Frederik Christiaan de Brieder	11 oktober 1836
Rudolf Cornelis Hendrik Römer	11 december 1816
D.W. Rost van Tonningen	19de eeuw
F.V.H.A. de Stuers	29 november 1792
F. de Witt Huberts	1860
C.D.H. Schneider	12 oktober 1832
Willem Bernard Johannes van Eyk	31 januari 1826
J.C. de Marez Oyens	1845
Ewaldus Daniël Pijzel	9 september 1846
N. Donker	21 april 1825
M. de Ras	13 juni 1847
Henrick Witte	10 mei 1829
M.C. Piepers	1835
A. Elink Sterk jr.	10 maart 1796
J.A.F.L. van Heeckeren	24 november 1827
Pieter de Jong	3 maart 1832
F.H. Boogaard	1838
Marie Henriëtte Koorders-Boeke	29 mei 1837
Willem Hendrik de Beaufort	19 maart 1845
Willem Degenhardt	15 december 1817
Johan Hendrik Gallée	9 september 1847
Margaretha Wijnanda Maclaine Pont	1 januari 1852
Samuel Muller Fzn.	22 januari 1848
Carel van Nievelt	20 juni 1843
C.M. Vos	18 juni 1841
Petrus Conradi	14 juni 1837
Johan Drabbe	14 oktober 1839
W.B.G. Molkenboer	1844
Willem Pleyte	26 juni 1836
Cornelis Stoffel	4 september 1845
F.J. Haver Droeze	17 juli 1847
Hugo de Vries	16 februari 1848
Adrianus Dirk de Vries	1 juli 1842
A.C. Joosten	1837
Adrianus Daniel de Vries	5 maart 1851
A.C. Vreede	29 januari 1840
Henricus Anastasius Viotta	16 juli 1848
L.A.J.W. baron Sloet van de Beele	28 maart 1806
Th.W. Engelmann	14 november 1843
A.H.G.P. van den Es	2 juni 1831
I.D. Franssen van de Putte	22 maart 1822
Jacobus Craandijk	7 september 1834
J.J. van Toorenenbergen	12 februari 1822
J.J. Meinsma	9 september 1833
Johan baron d' Aulnis de Bourouill	9 april 1850
J. van Loenen Martinet	22 juni 1840
Jacob Léon Wertheim	22 oktober 1839
Johannes de Koo	13 september 1841
A.A.W. Hubrecht	1853
J. Winkler Prins	5 februari 1849
J.G. Frederiks	24 april 1828
R.M. van Goens	12 mei 1748
Charles François van Duyl	5 juli 1847
G.J. Grashuis	1835
H.G. Roodhuyzen	19de eeuw
Jacob Hendrik Hora Siccama	12 mei 1842
D.C. Meijer	17 augustus 1839
V.A. Julius	11 mei 1851
J. Aleida Nijland	1870
Jacob Adolf Bruno Wiselius	26 februari 1844
Anthonie Marius Kollewijn	7 november 1827
E.O. Houtsma	19de eeuw
C. Terburch	13 januari 1845
Jean Charles Naber	11 maart 1858
J.C. Costerus	29 maart 1849
G. Kalff	30 januari 1856
G. de Bosch Kemper	2 oktober 1841
