Target	Source	Weight	Author	DOB
Marnix Gijsen	H. Marsman	6	Marnix Gijsen	20 oktober 1899
Wies Moens	Anton van Duinkerken	11	Wies Moens	28 januari 1898
Karel van de Woestijne	Anton van Duinkerken	21	Karel van de Woestijne	10 maart 1878
Prosper van Langendonck	Anton van Duinkerken	10	Prosper van Langendonck	15 maart 1862
Henk Kuitenbrouwer	Albert Kuyle	29	Henk Kuitenbrouwer	20 november 1903
Gerard Bruning	Albert Kuyle	5	Gerard Bruning	18 februari 1898
A. den Doolaard	Anton van Duinkerken	5	A. den Doolaard	7 februari 1901
Willem Kloos	Anton van Duinkerken	24	Willem Kloos	6 mei 1859
Karel van den Oever	Anton van Duinkerken	12	Karel van den Oever	19 november 1879
Albe	H. Marsman	7	Albe	8 juni 1902
Guido Gezelle	Anton van Duinkerken	18	Guido Gezelle	1 mei 1830
J.F.M. Sterck	Anton van Duinkerken	7	J.F.M. Sterck	3 januari 1859
Frans Erens	Anton van Duinkerken	8	Frans Erens	23 juli 1857
Wouter Lutkie	Anton van Duinkerken	10	Wouter Lutkie	23 februari 1887
Wouter Lutkie	Henk Kuitenbrouwer	6	Wouter Lutkie	23 februari 1887
Anton van Duinkerken	Gerard Wijdeveld	7	Anton van Duinkerken	2 januari 1903
Henk Kuitenbrouwer	Jan Engelman	14	Henk Kuitenbrouwer	20 november 1903
Dirk Coster	H. Marsman	5	Dirk Coster	7 juli 1887
Stefan George	Anton van Duinkerken	11	Stefan George	1868
Anton van Duinkerken	H. Marsman	5	Anton van Duinkerken	2 januari 1903
P.N. van Eyck	Anton van Duinkerken	8	P.N. van Eyck	1 oktober 1887
Nicolaas Beets	Anton van Duinkerken	8	Nicolaas Beets	13 september 1814
Abraham Kuyper	Anton van Duinkerken	6	Abraham Kuyper	29 oktober 1837
J. van Geuns	J.J. van Geuns	48	J. van Geuns	5 juli 1808
Gerard Wijdeveld	Anton van Duinkerken	12	Gerard Wijdeveld	1905
Jan Engelman	Sybold van Ravesteyn	6	Jan Engelman	7 juni 1900
Henri Bruning	Anton van Duinkerken	14	Henri Bruning	10 juli 1900
Halbo C. Kool	Anton van Duinkerken	5	Halbo C. Kool	25 januari 1907
D.A.M. Binnendijk	Anton van Duinkerken	6	D.A.M. Binnendijk	12 oktober 1902
Jan H. Eekhout	Anton van Duinkerken	7	Jan H. Eekhout	10 januari 1900
A.J.D. van Oosten	Anton van Duinkerken	41	A.J.D. van Oosten	12 november 1898
A.J.D. van Oosten	Sybold van Ravesteyn	10	A.J.D. van Oosten	12 november 1898
B.H. Molkenboer	Anton van Duinkerken	7	B.H. Molkenboer	1879
H. Mol	Anton van Duinkerken	7	H. Mol	1917
Jan Engelman	Anton van Duinkerken	32	Jan Engelman	7 juni 1900
Jan Engelman	H. Marsman	9	Jan Engelman	7 juni 1900
G. Kalff	Anton van Duinkerken	8	G. Kalff	30 januari 1856
Albe	A. van Domburg	8	Albe	8 juni 1902
Giovanni Papini	Ellen Russe	6	Giovanni Papini	1881
Roel Houwink	Anton van Duinkerken	6	Roel Houwink	17 januari 1899
A.J.D. van Oosten	Henk Kuitenbrouwer	13	A.J.D. van Oosten	12 november 1898
Menno ter Braak	Anton van Duinkerken	25	Menno ter Braak	26 januari 1902
J.H. Leopold	Anton van Duinkerken	6	J.H. Leopold	11 mei 1865
Chris de Graaff	Anton van Duinkerken	9	Chris de Graaff	13 september 1890
Multatuli	Anton van Duinkerken	23	Multatuli	2 maart 1820
Anton van Duinkerken	Ad. Sassen	5	Anton van Duinkerken	2 januari 1903
A.J.D. van Oosten	A. van Domburg	7	A.J.D. van Oosten	12 november 1898
Geerten Gossaert	Anton van Duinkerken	11	Geerten Gossaert	9 februari 1884
Ernest Claes	Anton van Duinkerken	6	Ernest Claes	24 oktober 1885
Jacob van Lennep	Anton van Duinkerken	7	Jacob van Lennep	24 maart 1802
Felix Timmermans	Anton van Duinkerken	10	Felix Timmermans	5 juli 1886
E.J. Potgieter	Anton van Duinkerken	6	E.J. Potgieter	27 juni 1808
Gerard Walschap	Anton van Duinkerken	5	Gerard Walschap	9 juli 1898
Louis de Bourbon	Anton van Duinkerken	5	Louis de Bourbon	27 december 1908
Wouter Lutkie	A.J.D. van Oosten	6	Wouter Lutkie	23 februari 1887
Ernest Michel	A.J.D. van Oosten	7	Ernest Michel	25 november 1899
E. du Perron	Anton van Duinkerken	10	E. du Perron	2 november 1899
Dirk Coster	A.J.D. van Oosten	12	Dirk Coster	7 juli 1887
Jan Greshoff	A.J.D. van Oosten	5	Jan Greshoff	15 december 1888
Jan Greshoff	Anton van Duinkerken	9	Jan Greshoff	15 december 1888
Jan H. Eekhout	A.J.D. van Oosten	6	Jan H. Eekhout	10 januari 1900
Menno ter Braak	A.J.D. van Oosten	5	Menno ter Braak	26 januari 1902
W.A.P. Smit	Anton van Duinkerken	15	W.A.P. Smit	6 december 1903
Gerard Brom	A.J.D. van Oosten	8	Gerard Brom	17 april 1882
Jan Engelman	A.J.D. van Oosten	20	Jan Engelman	7 juni 1900
Paul Vlemminx	A.J.D. van Oosten	8	Paul Vlemminx	1907
Karel van de Woestijne	A.J.D. van Oosten	5	Karel van de Woestijne	10 maart 1878
Albert Helman	Henk Kuitenbrouwer	9	Albert Helman	7 november 1903
Frederik van Eeden	Anton van Duinkerken	22	Frederik van Eeden	3 april 1860
Albe	A.J.D. van Oosten	35	Albe	8 juni 1902
Albert Kuyle	A.J.D. van Oosten	12	Albert Kuyle	17 februari 1904
H. Marsman	Anton van Duinkerken	17	H. Marsman	30 september 1899
Antoon Coolen	A.J.D. van Oosten	7	Antoon Coolen	17 april 1897
Henri Borel	Anton van Duinkerken	5	Henri Borel	23 november 1869
Frederik van Eeden	A.J.D. van Oosten	5	Frederik van Eeden	3 april 1860
Constant van Wessem	Anton van Duinkerken	5	Constant van Wessem	25 april 1891
Theun de Vries	Anton van Duinkerken	9	Theun de Vries	26 april 1907
Herman de Man	A.J.D. van Oosten	5	Herman de Man	11 juli 1898
Alfred de Vigny	Anton van Duinkerken	7	Alfred de Vigny	1797
Charles Eyck	A.J.D. van Oosten	10	Charles Eyck	24 maart 1897
Arthur van Schendel	Anton van Duinkerken	7	Arthur van Schendel	5 maart 1874
Henk Kuitenbrouwer	A.J.D. van Oosten	10	Henk Kuitenbrouwer	20 november 1903
Hendrik de Vries	A.J.D. van Oosten	6	Hendrik de Vries	17 augustus 1896
Anton van Duinkerken	A.J.D. van Oosten	29	Anton van Duinkerken	2 januari 1903
Pieter van der Meer de Walcheren	Anton van Duinkerken	6	Pieter van der Meer de Walcheren	10 september 1880
A.J.D. van Oosten	Ad. Sassen	6	A.J.D. van Oosten	12 november 1898
J.W.F. Werumeus Buning	Anton van Duinkerken	11	J.W.F. Werumeus Buning	4 mei 1891
Aart van der Leeuw	Anton van Duinkerken	5	Aart van der Leeuw	23 juni 1876
A. den Doolaard	A.J.D. van Oosten	5	A. den Doolaard	7 februari 1901
Wies Moens	A.J.D. van Oosten	5	Wies Moens	28 januari 1898
Marnix Gijsen	A.J.D. van Oosten	9	Marnix Gijsen	20 oktober 1899
Theun de Vries	A.J.D. van Oosten	5	Theun de Vries	26 april 1907
Herman Gorter	Anton van Duinkerken	22	Herman Gorter	26 november 1864
C.R. de Klerk	A.J.D. van Oosten	5	C.R. de Klerk	1873
A.J.D. van Oosten	Jan Engelman	12	A.J.D. van Oosten	12 november 1898
Gerard Wijdeveld	A.J.D. van Oosten	9	Gerard Wijdeveld	1905
C.R. de Klerk	Anton van Duinkerken	9	C.R. de Klerk	1873
Lodewijk van Deyssel	Anton van Duinkerken	25	Lodewijk van Deyssel	22 september 1864
Maria Viola	Anton van Duinkerken	8	Maria Viola	1 december 1871
Bernard Verhoeven	Anton van Duinkerken	5	Bernard Verhoeven	29 april 1897
Joep Nicolas	Anton van Duinkerken	6	Joep Nicolas	6 oktober 1897
Alphons Diepenbrock	Jan Engelman	7	Alphons Diepenbrock	2 september 1862
Jan Vercammen	A.J.D. van Oosten	9	Jan Vercammen	7 november 1906
Pierre Kemp	Anton van Duinkerken	8	Pierre Kemp	1 december 1886
Willem Maas	Jan Engelman	8	Willem Maas	28 april 1897
Jozef Cantré	A.J.D. van Oosten	5	Jozef Cantré	26 december 1890
Frans Coenen	Anton van Duinkerken	7	Frans Coenen	24 april 1866
Albe	A.G.W. Severijnen	5	Albe	8 juni 1902
C.G.N. de Vooys	Anton van Duinkerken	6	C.G.N. de Vooys	26 mei 1873
Pieter G. Buckinx	P.J.H. Vermeeren	5	Pieter G. Buckinx	6 februari 1903
Anton van Duinkerken	P.J.H. Vermeeren	13	Anton van Duinkerken	2 januari 1903
Dirk Coster	P.J.H. Vermeeren	6	Dirk Coster	7 juli 1887
Jan Romein	P.J.H. Vermeeren	5	Jan Romein	30 oktober 1893
Wies Moens	Jan Vercammen	6	Wies Moens	28 januari 1898
Garmt Stuiveling	Anton van Duinkerken	6	Garmt Stuiveling	21 december 1907
Ed. Hoornik	A.J.D. van Oosten	5	Ed. Hoornik	9 maart 1910
Willem Bilderdijk	Anton van Duinkerken	5	Willem Bilderdijk	7 september 1756
A. van Domburg	A.J.D. van Oosten	6	A. van Domburg	9 januari 1895
Marnix Gijsen	D.A.M. Binnendijk	5	Marnix Gijsen	20 oktober 1899
Albe	Jan Vercammen	9	Albe	8 juni 1902
C.G.N. de Vooys	P.J.H. Vermeeren	7	C.G.N. de Vooys	26 mei 1873
Marnix Gijsen	André Demedts	9	Marnix Gijsen	20 oktober 1899
Albe	André Demedts	19	Albe	8 juni 1902
Jan Prins	Anton van Duinkerken	5	Jan Prins	5 februari 1876
A.J.D. van Oosten	Jan Vercammen	9	A.J.D. van Oosten	12 november 1898
A.G.W. Severijnen	A.J.D. van Oosten	11	A.G.W. Severijnen	19de eeuw
A.G.W. Severijnen	Jan Vercammen	6	A.G.W. Severijnen	19de eeuw
A.J.D. van Oosten	A.G.W. Severijnen	11	A.J.D. van Oosten	12 november 1898
Jan Vercammen	A.G.W. Severijnen	6	Jan Vercammen	7 november 1906
Willem de Mérode	Anton van Duinkerken	8	Willem de Mérode	2 september 1887
P.C. Boutens	Anton van Duinkerken	7	P.C. Boutens	20 februari 1870
A. Roland Holst	P.J.H. Vermeeren	5	A. Roland Holst	23 mei 1888
Ed. Hoornik	Anton van Duinkerken	6	Ed. Hoornik	9 maart 1910
E. Moll	Anton van Duinkerken	8	E. Moll	7 maart 1814
M. Rutten	Anton van Duinkerken	5	M. Rutten	18 april 1906
H.W.E. Moller	Anton van Duinkerken	8	H.W.E. Moller	8 november 1869
Albe	P.J.H. Vermeeren	8	Albe	8 juni 1902
J. Slauerhoff	Anton van Duinkerken	6	J. Slauerhoff	14 september 1898
Albe	E.J. Potgieter	8	Albe	8 juni 1902
W.R. van Hoëvell	P.J. Veth	9	W.R. van Hoëvell	14 juli 1812
A.V. Michiels	P.J. Veth	7	A.V. Michiels	30 april 1797
Albe	Willem Richard Boer	10	Albe	8 juni 1902
P.W. Korthals	P.J. Veth	6	P.W. Korthals	1 september 1807
Salomon Müller	P.J. Veth	6	Salomon Müller	1864
Adam Smith	Jan Heemskerk Bzn.	5	Adam Smith	18de eeuw
S.J. van den Bergh	E.J. Potgieter	21	S.J. van den Bergh	10 januari 1814
Alfred de Musset	E.J. Potgieter	7	Alfred de Musset	11 december 1810
Adam Smith	S. Vissering	7	Adam Smith	18de eeuw
W.J. Hofdijk	H.J. Schimmel	5	W.J. Hofdijk	27 juni 1816
Albe	H.J. Schimmel	6	Albe	8 juni 1902
Albe	Carel Adriaan Engelbregt	5	Albe	8 juni 1902
S.J. van den Bergh	P.J. Veth	16	S.J. van den Bergh	10 januari 1814
Albe	Willem Jan Knoop	11	Albe	8 juni 1902
J.J.L. ten Kate	E.J. Potgieter	5	J.J.L. ten Kate	23 december 1819
Albe	Johan Carl Zimmerman	16	Albe	8 juni 1902
Adam Smith	Pieter Nicolaas Muller	5	Adam Smith	18de eeuw
P.J. Veth	Johan Carl Zimmerman	5	P.J. Veth	2 december 1814
Albe	Johan Adam Wijnne	6	Albe	8 juni 1902
Albe	S. Vissering	6	Albe	8 juni 1902
Albe	Samuel Adrianus Naber	9	Albe	8 juni 1902
Alfred de Musset	Cd. Busken Huet	6	Alfred de Musset	11 december 1810
Martinus Nijhoff	Robert Fruin	8	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Robert Fruin	8	Martinus Nijhoff	26 december 1826
Albe	Pieter Nicolaas Muller	7	Albe	8 juni 1902
Albe	H.P.G. Quack	23	Albe	8 juni 1902
Adam Smith	H.P.G. Quack	15	Adam Smith	18de eeuw
Adam Smith	Nikolaas Gerard Pierson	17	Adam Smith	18de eeuw
Albe	J.A. Alberdingk Thijm	17	Albe	8 juni 1902
R. Feith	Pieter Rutger Feith	26	R. Feith	13 januari 1822
Albe	Cd. Busken Huet	5	Albe	8 juni 1902
Alfred de Musset	H.P.G. Quack	6	Alfred de Musset	11 december 1810
C. Winkler	Tiberius Cornelius Winkler	9	C. Winkler	1855
P.J. Veth	Robert Fruin	8	P.J. Veth	2 december 1814
S. Vissering	Samuel Adrianus Naber	5	S. Vissering	23 juni 1818
S. Vissering	Johan Carl Zimmerman	5	S. Vissering	23 juni 1818
Albe	Robert Fruin	6	Albe	8 juni 1902
J. van Vloten	Carel Vosmaer	5	J. van Vloten	18 januari 1818
H. Oort	Henricus Oort	11	H. Oort	24 februari 1778
P.J. Veth	Samuel Adrianus Naber	6	P.J. Veth	2 december 1814
H.C. Rogge	Samuel Adrianus Naber	6	H.C. Rogge	16 februari 1831
Martinus Nijhoff	Jérome Alexandre Sillem	8	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Jérome Alexandre Sillem	8	Martinus Nijhoff	26 december 1826
George Eliot	Charles Boissevain	7	George Eliot	22 november 1819
Albe	Charles Boissevain	11	Albe	8 juni 1902
Albe	D.E.W. Wolff	5	Albe	8 juni 1902
David Jacob van Lennep	H.P.G. Quack	5	David Jacob van Lennep	28 december 1896
Jacob van Lennep	H.P.G. Quack	7	Jacob van Lennep	24 maart 1802
Alfred de Musset	Charles Boissevain	5	Alfred de Musset	11 december 1810
H. Kern	Henri Ernest Moltzer	5	H. Kern	6 april 1833
Albe	Abraham Seyne Kok	6	Albe	8 juni 1902
Multatuli	Cornelis Bellaar Spruyt	5	Multatuli	2 maart 1820
Albe	J.N. van Hall	62	Albe	8 juni 1902
Albe	Johan Hermann Christian Heyse	11	Albe	8 juni 1902
Albe	Jérome Alexandre Sillem	6	Albe	8 juni 1902
Nicolaas Beets	Charles Boissevain	5	Nicolaas Beets	13 september 1814
E.J. Potgieter	Johan Carl Zimmerman	5	E.J. Potgieter	27 juni 1808
Willem de Clercq	Allard Pierson	6	Willem de Clercq	15 januari 1795
H. Kern	Pieter Nicolaas Muller	5	H. Kern	6 april 1833
H. Kern	Johan Hermann Christian Heyse	6	H. Kern	6 april 1833
Martinus Nijhoff	Johan Hermann Christian Heyse	6	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Johan Hermann Christian Heyse	6	Martinus Nijhoff	26 december 1826
Albe	Allard Pierson	6	Albe	8 juni 1902
J. Verdam	Johan Hendrik Gallée	5	J. Verdam	22 januari 1845
Multatuli	Johan Hermann Christian Heyse	6	Multatuli	2 maart 1820
Multatuli	Marie Henriëtte Koorders-Boeke	5	Multatuli	2 maart 1820
H. Kern	Marie Henriëtte Koorders-Boeke	5	H. Kern	6 april 1833
H. van Cappelle	H. van Cappelle jr.	6	H. van Cappelle	25 september 1825
Martinus Nijhoff	J.N. van Hall	6	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	J.N. van Hall	6	Martinus Nijhoff	26 december 1826
Alfred de Musset	J.N. van Hall	17	Alfred de Musset	11 december 1810
J. van Loenen Martinet	Johan Hermann Christian Heyse	6	J. van Loenen Martinet	22 juni 1840
J.H. Hooijer	Hendrik Hooyer	20	J.H. Hooijer	27 maart 1844
Jan ten Brink	Anton Gerard van Hamel	6	Jan ten Brink	15 juni 1834
A.G. van Hamel	Anton Gerard van Hamel	64	A.G. van Hamel	5 juli 1886
Alfred de Musset	Anton Gerard van Hamel	12	Alfred de Musset	11 december 1810
J.A. Alberdingk Thijm	J.N. van Hall	7	J.A. Alberdingk Thijm	13 augustus 1820
Albe	Max Rooses	5	Albe	8 juni 1902
Jan ten Brink	J.N. van Hall	9	Jan ten Brink	15 juni 1834
Martinus Nijhoff	Willem Hendrik de Beaufort	5	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Willem Hendrik de Beaufort	5	Martinus Nijhoff	26 december 1826
Pol de Mont	Max Rooses	6	Pol de Mont	15 april 1857
Multatuli	J.N. van Hall	28	Multatuli	2 maart 1820
Albe	Joh. Dyserinck	9	Albe	8 juni 1902
Louis Couperus	J.N. van Hall	5	Louis Couperus	10 juni 1863
Jan C. de Vos	J.N. van Hall	10	Jan C. de Vos	8 juli 1855
H.J. Schimmel	J.N. van Hall	5	H.J. Schimmel	30 juni 1823
Albe	Anton Gerard van Hamel	14	Albe	8 juni 1902
Multatuli	G. Kalff	9	Multatuli	2 maart 1820
Albe	Willem van der Vlugt	7	Albe	8 juni 1902
Albe	Henricus Anastasius Viotta	30	Albe	8 juni 1902
Pol de Mont	J.N. van Hall	6	Pol de Mont	15 april 1857
Albert Verwey	J.N. van Hall	10	Albert Verwey	15 mei 1865
Marcellus Emants	J.N. van Hall	5	Marcellus Emants	12 augustus 1848
A. Kluyver	A. Kluijver	24	A. Kluyver	1858
A.G. van Hamel	J.N. van Hall	13	A.G. van Hamel	5 juli 1886
Hélène Swarth	J.N. van Hall	5	Hélène Swarth	25 oktober 1859
Multatuli	H.J. Polak	9	Multatuli	2 maart 1820
Albe	G. Kalff	9	Albe	8 juni 1902
Albe	Leo Simons	7	Albe	8 juni 1902
G. Kalff	R.A. Kollewijn	5	G. Kalff	30 januari 1856
Albe	R.P.J. Tutein Nolthenius	11	Albe	8 juni 1902
Herman Heijermans	J.N. van Hall	14	Herman Heijermans	3 december 1864
Multatuli	Willem Gerard van Nouhuys	20	Multatuli	2 maart 1820
Albe	W.G.C. Byvanck	16	Albe	8 juni 1902
Taco H. de Beer	J.N. van Hall	5	Taco H. de Beer	18 november 1838
H.P.G. Quack	J.N. van Hall	6	H.P.G. Quack	2 juli 1834
Allard Pierson	Anton Gerard van Hamel	5	Allard Pierson	8 april 1831
Allard Pierson	Anton Gerard van Hamel	5	Allard Pierson	1 november 1770
Herman Gorter	W.G.C. Byvanck	5	Herman Gorter	26 november 1864
Jan Six	Jan Veth	5	Jan Six	2 februari 1857
Allard Pierson	L. Knappert	5	Allard Pierson	8 april 1831
Allard Pierson	L. Knappert	5	Allard Pierson	1 november 1770
Martinus Nijhoff	H.T. Colenbrander	17	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	H.T. Colenbrander	17	Martinus Nijhoff	26 december 1826
Bruneau	Henricus Anastasius Viotta	5	Bruneau	20ste eeuw
N.P. van den Berg	Conrad Th. van Deventer	5	N.P. van den Berg	1831
Allard Pierson	J.N. van Hall	7	Allard Pierson	8 april 1831
Allard Pierson	J.N. van Hall	7	Allard Pierson	1 november 1770
G. Kalff	J.N. van Hall	5	G. Kalff	30 januari 1856
Hugo de Vries	A.A.W. Hubrecht	9	Hugo de Vries	16 februari 1848
Multatuli	Conrad Th. van Deventer	7	Multatuli	2 maart 1820
Marcellus Emants	Willem Gerard van Nouhuys	15	Marcellus Emants	12 augustus 1848
Willem Kloos	Willem Gerard van Nouhuys	10	Willem Kloos	6 mei 1859
Guido Gezelle	Willem Gerard van Nouhuys	5	Guido Gezelle	1 mei 1830
Stijn Streuvels	Willem Gerard van Nouhuys	8	Stijn Streuvels	3 oktober 1871
Jan Veth	Antoon Derkinderen	6	Jan Veth	18 mei 1864
Albe	Antoon Derkinderen	7	Albe	8 juni 1902
Herman Teirlinck	Willem Gerard van Nouhuys	5	Herman Teirlinck	24 februari 1879
Henri Borel	Willem Gerard van Nouhuys	5	Henri Borel	23 november 1869
Frederik van Eeden	Willem Gerard van Nouhuys	6	Frederik van Eeden	3 april 1860
J.N. van Hall	Anton Gerard van Hamel	5	J.N. van Hall	15 januari 1840
Nicolaas Beets	J.N. van Hall	7	Nicolaas Beets	13 september 1814
Carel Scharten	Margo Scharten-Antink	57	Carel Scharten	14 maart 1878
Multatuli	Margo Scharten-Antink	5	Multatuli	2 maart 1820
Multatuli	Carel Scharten	13	Multatuli	2 maart 1820
Herman Robbers	Carel Scharten	5	Herman Robbers	4 september 1868
Top Naeff	Carel Scharten	5	Top Naeff	24 maart 1878
Edward B. Koster	Carel Scharten	5	Edward B. Koster	14 september 1861
Frederik van Eeden	Carel Scharten	8	Frederik van Eeden	3 april 1860
Herman Gorter	Carel Scharten	6	Herman Gorter	26 november 1864
Frans Mijnssen	J.N. van Hall	5	Frans Mijnssen	28 februari 1872
Jacob van Lennep	J.N. van Hall	6	Jacob van Lennep	24 maart 1802
Albert Verwey	Margo Scharten-Antink	5	Albert Verwey	15 mei 1865
Albert Verwey	Carel Scharten	11	Albert Verwey	15 mei 1865
Willem Kloos	Margo Scharten-Antink	6	Willem Kloos	6 mei 1859
Willem Kloos	Carel Scharten	9	Willem Kloos	6 mei 1859
Guido Gezelle	Carel Scharten	9	Guido Gezelle	1 mei 1830
Nico van Suchtelen	Carel Scharten	6	Nico van Suchtelen	25 oktober 1878
Albe	Margo Scharten-Antink	17	Albe	8 juni 1902
Albe	Carel Scharten	30	Albe	8 juni 1902
Jozef Israëls	Jan Veth	5	Jozef Israëls	27 januari 1824
Johan de Meester	J.N. van Hall	23	Johan de Meester	6 februari 1860
E.J. Potgieter	J.N. van Hall	5	E.J. Potgieter	27 juni 1808
